ticker,LBRMF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-23,0.7299
2010-04-26,1.4221
2010-04-28,-8.5469
2010-05-04,-16.1924
2010-05-10,16.1677
2010-05-11,-1.1295
2010-05-17,-9.2231
2010-05-19,-9.7601
2010-05-20,-7.4111
2010-05-26,11.0005
2010-05-28,2.9271000000000003
2010-06-03,-3.5088
2010-06-10,-6.2961
2010-06-24,-0.9673
2010-06-25,-1.6841
2010-06-29,-6.2773
2010-07-15,-6.0052
2010-07-19,0.0332
2010-07-20,-8.6052
2010-07-28,8.9482
2010-07-29,7.7191
2010-07-30,4.7079
2010-08-18,2.0936
2010-08-20,-6.3217
2010-08-24,-6.1217
2010-09-01,11.8684
2010-09-02,-0.0629
2010-09-03,12.4192
2010-09-07,-2.3078
2010-09-17,16.0438
2010-09-20,-0.8718
2010-09-23,-0.8986
2010-09-24,1.621
2010-09-27,-0.4019
2010-09-28,-0.7353
2010-09-29,0.2639
2010-10-05,-5.9645
2010-10-15,3.4767
2010-10-19,-6.2977
2010-10-21,5.7523
2010-10-25,9.0833
2010-10-26,-5.3579
2010-11-01,3.3291
2010-11-02,-0.9298
2010-11-03,0.3583
2010-11-05,12.0817
2010-11-08,8.0725
2010-11-10,-4.9056999999999995
2010-11-11,2.3861
2010-11-12,-2.2249
2010-11-15,-1.3466
2010-11-16,-8.7938
2010-11-17,7.0807
2010-11-22,40.5783
2010-11-24,-0.8101
2010-11-26,1.8921000000000001
2010-11-29,-2.262
2010-11-30,-3.3874
2010-12-01,5.7958
2010-12-03,2.7487
2010-12-06,-0.3722
2010-12-07,-0.4224
2010-12-08,-1.7783
2010-12-09,1.5777999999999999
2010-12-13,2.4891
2010-12-14,11.2303
2010-12-15,-2.565
2010-12-20,1.0348
2010-12-29,-3.4095
2010-12-31,10.2485
2011-01-04,8.3546
2011-01-05,-2.9318
2011-01-06,-7.416
2011-01-07,2.0449
2011-01-11,4.3948
2011-01-12,13.5535
2011-01-13,-6.0704
2011-01-14,-2.0014
2011-01-18,1.9123999999999999
2011-01-20,-6.0363
2011-01-21,-2.4435000000000002
2011-01-24,0.509
2011-01-26,-1.367
2011-01-27,4.5268
2011-01-28,-3.4175
2011-01-31,-2.6827
2011-02-01,7.4466
2011-02-02,0.4659
2011-02-03,-0.6621
2011-02-04,0.2831
2011-02-08,-0.4875
2011-02-10,-4.4047
2011-02-14,9.6413
2011-02-15,0.5927
2011-02-16,5.1819
2011-02-17,4.5639
2011-02-18,1.0201
