ticker,TGRR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-05-06,0.0
2016-06-03,91.6
2016-06-06,-47.8079
2016-06-08,-20.0
2016-06-10,10.0
2016-06-13,13.6364
2016-06-14,10.15
2016-06-15,61.9383
2016-06-16,7.6384
2016-06-17,37.5
2016-06-20,16.6667
2016-06-21,1.2987
2016-06-22,1.2821
2016-06-23,1.2658
2016-06-24,1.25
2016-06-27,0.0
2016-06-28,-2.4691
2016-06-29,1.2658
2016-06-30,-7.5
2016-07-01,2.4324
2016-07-05,0.2639
2016-07-06,2.6316
2016-07-07,-10.2564
2016-07-08,4.2857
2016-07-11,-5.4795
2016-07-12,0.308
2016-07-13,-7.5312
2016-07-14,-18.75
2016-07-15,-3.8462
2016-07-18,-10.0
2016-07-19,-10.4167
2016-07-20,14.1085
2016-07-21,-2.1739
2016-07-22,5.7778
2016-07-25,-15.9664
2016-07-26,7.5
2016-07-27,0.0
2016-07-28,-18.6047
2016-07-29,-2.8571
2016-08-01,-0.239
2016-08-02,-23.3462
2016-08-03,0.0
2016-08-04,3.8462
2016-08-05,7.4074
2016-08-08,58.6207
2016-08-09,-2.1739
2016-08-11,-2.2222
2016-08-12,-31.8182
2016-08-15,-23.3333
2016-08-16,4.3478
2016-08-17,37.5
2016-08-18,27.2727
2016-08-19,1.8304
2016-08-22,-5.6554
2016-08-23,-0.8674
2016-08-24,0.0
2016-08-25,2.5
2016-08-26,2.439
2016-08-29,-6.4286
2016-08-30,0.5089
2016-08-31,-2.2785
2016-09-01,-4.1451
2016-09-02,-0.5405
2016-09-06,-2.1739
2016-09-07,-2.7778
2016-09-08,-11.375
2016-09-09,3.0627
2016-09-12,0.0978
2016-09-13,-21.875
2016-09-14,-71.2
2016-09-15,11.1111
2016-09-16,-38.75
2016-09-19,-6.1224
2016-09-20,19.2935
2016-09-22,-17.9954
2016-09-23,4.4444
2016-09-26,-2.1277
2016-09-27,3.2609
2016-09-29,-26.5789
2016-09-30,0.3584
2016-10-03,40.0
2016-10-04,2.0408
2016-10-05,0.0
2016-10-10,64.0
2016-10-11,21.9512
2016-10-13,-20.125
2016-10-14,-2.3474
2016-10-17,-35.8974
2016-10-18,-39.75
2016-10-19,32.7801
2016-10-20,18.75
2016-10-24,-5.2632
2016-10-25,5.5556
2016-10-26,0.0
2016-10-27,5.2632
2016-10-31,0.0
2016-11-08,-9.125
2016-11-14,-0.6878
2016-11-15,-22.4377
2016-11-16,0.0
2016-11-17,0.3571
2016-11-18,-14.5907
