ticker,IRMD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-16,58.4
2014-07-17,-9.0909
2014-07-18,-2.2222
2014-07-21,-0.1136
2014-07-22,-0.4551
2014-07-23,2.7429
2014-07-24,2.5584
2014-07-25,-0.1085
2014-07-28,0.4343
2014-07-29,1.0811
2014-07-30,-0.5348
2014-07-31,-1.8279999999999998
2014-08-01,2.6287000000000003
2014-08-04,0.6417
2014-08-05,-0.8497
2014-08-06,0.3209
2014-08-07,1.2793
2014-08-08,16.1053
2014-08-11,0.0907
2014-08-12,-5.163
2014-08-13,5.0621
2014-08-14,-1.4545
2014-08-15,-0.8303
2014-08-18,1.3023
2014-08-19,0.8264
2014-08-20,0.9107
2014-08-21,1.8953
2014-08-22,-1.6829
2014-08-25,0.4505
2014-08-26,-0.4484
2014-08-27,-1.3514
2014-08-28,-0.7306
2014-08-29,-0.644
2014-09-02,-3.7037
2014-09-03,-31.25
2014-09-04,7.4126
2014-09-05,0.2604
2014-09-08,2.7273
2014-09-09,-3.1606
2014-09-10,-0.1305
2014-09-11,1.9607999999999999
2014-09-12,-1.859
2014-09-15,-3.7231
2014-09-16,-2.578
2014-09-17,2.0195
2014-09-18,-2.2526
2014-09-19,-5.7263
2014-09-22,4.7407
2014-09-23,-1.669
2014-09-24,2.4166
2014-09-25,-2.5281000000000002
2014-09-26,2.8818
2014-09-29,-0.5602
2014-09-30,-1.2676
2014-10-01,0.4993
2014-10-02,1.7743
2014-10-03,0.4184
2014-10-06,1.5278
2014-10-07,-2.5991999999999997
2014-10-08,0.1404
2014-10-09,1.683
2014-10-10,-0.6897
2014-10-13,0.6944
2014-10-14,0.5517
2014-10-15,-3.9781
2014-10-16,0.2857
2014-10-17,2.9897
2014-10-20,-0.6898
2014-10-21,0.8357
2014-10-22,-0.5525
2014-10-23,1.3889
2014-10-24,-1.2328999999999999
2014-10-27,3.6755
2014-10-28,-1.7391
2014-10-29,0.885
2014-10-30,-4.0486
2014-10-31,2.2504
2014-11-03,-0.11
2014-11-04,2.8625
2014-11-05,0.2694
2014-11-06,0.4005
2014-11-07,-1.5957
2014-11-10,-1.6216
2014-11-11,3.1593
2014-11-12,1.0652
2014-11-13,4.1502
2014-11-14,0.6958
2014-11-17,7.0352
2014-11-18,-0.939
2014-11-19,-2.3697
2014-11-20,0.7282
2014-11-21,3.012
2014-11-24,-1.7544
2014-11-25,5.8333
2014-11-26,-0.8999
2014-11-28,0.1135
2014-12-01,1.3605
2014-12-02,-1.264
