ticker,TIMNF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-03-20,0.0
2001-03-23,-15.625
2001-03-26,0.0
2001-04-02,0.0
2001-04-03,0.0
2001-04-10,48.1481
2001-04-27,-5.0
2001-05-01,-2.6316
2001-05-16,8.1081
2001-05-29,42.5
2002-05-21,85.9649
2002-05-23,0.0
2002-06-18,-1.8868
2002-12-05,-5.7692
2003-05-07,12.2449
2003-05-20,16.3636
2003-07-16,-9.375
2003-08-25,10.3448
2003-08-27,-3.125
2003-09-23,91.9355
2003-09-29,-16.8067
2003-10-03,-10.101
2003-10-09,6.4185
2003-10-22,-17.9623
2003-12-17,-4.1184
2003-12-18,-0.6711
2004-03-12,5.4054
2004-03-16,-2.5641
2004-03-29,-5.2632
2004-04-08,20.7899
2004-07-06,-24.1107
2004-09-08,6.8182
2004-11-22,4.5567
2004-11-24,12.5996
2004-11-30,-0.6024
2004-12-07,-3.3106
2005-01-24,-5.3514
2005-02-01,-4.2632
2005-02-08,1.4354
2005-03-10,-3.1626
2005-03-23,-9.8592
2005-09-06,-45.3125
2005-12-02,-11.1429
2005-12-13,36.6559
2005-12-16,-23.0147
2006-01-11,-14.613199999999999
2006-01-20,19.1946
2006-03-14,-23.4234
2006-06-08,11.7647
2006-07-31,-1.7544
2006-08-17,-1.5625
2006-08-18,4.5351
2006-12-19,-1.1280000000000001
2006-12-20,-0.3072
2006-12-21,0.0
2006-12-27,-1.4085
2006-12-28,0.0
2006-12-29,-0.7589
2007-04-04,493.7922
2007-04-05,52.3636
2007-04-09,-1.9839
2007-04-10,3.6118
2007-04-11,0.9082
2007-04-12,11.7877
2007-04-13,-1.9487999999999999
2007-04-16,-3.5612
2007-04-17,0.6128
2007-04-18,0.5885
2007-04-19,14.4723
2007-04-20,9.8138
2007-04-23,-7.5513
2007-04-24,-5.5885
2007-04-26,3.1457
2007-04-27,-5.5605
2007-04-30,11.0097
2007-05-01,0.0
2007-05-03,1.1831
2007-05-04,0.2305
2007-05-07,0.2318
2007-05-09,0.3253
2007-05-10,9.3915
2007-05-11,3.0702
2007-05-14,-4.7606
2007-05-16,-7.2605
2007-05-17,3.6471999999999998
2007-05-18,-2.2406
2007-05-22,-7.1768
2007-05-24,-4.4021
2007-05-29,1.8796
2007-05-30,6.1367
2007-05-31,2.7835
2007-06-01,11.923
2007-06-04,-1.4824
2007-06-05,-2.5415
2007-06-07,-7.8828
2007-06-08,6.1888
2007-06-11,0.0287
2007-06-12,-0.2866
2007-06-13,-4.0667
