ticker,BCYC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-23,-14.2857
2019-05-24,8.75
2019-05-28,-5.9004
2019-05-29,0.4886
2019-05-30,-3.3225
2019-05-31,-2.0117
2019-06-03,-4.1916
2019-06-04,4.4643
2019-06-05,-3.2479
2019-06-06,2.4735
2019-06-07,1.2931
2019-06-10,1.2766
2019-06-11,0.0
2019-06-12,0.2521
2019-06-13,3.9396
2019-06-14,5.6452
2019-06-17,1.0687
2019-06-18,10.0453
2019-06-19,0.4118
2019-06-20,-3.0075
2019-06-21,-17.9704
2019-06-24,-2.3196
2019-06-25,-6.3325
2019-06-26,-1.5962
2019-06-27,-1.6221
2019-06-28,-2.4248
2019-07-01,-1.5905
2019-07-02,-1.5152
2019-07-03,-6.5641
2019-07-05,-1.2075
2019-07-08,-1.0
2019-07-09,1.0101
2019-07-10,0.0
2019-07-11,-4.0
2019-07-12,-9.838
2019-07-15,6.0334
2019-07-16,6.1743
2019-07-17,2.3945
2019-07-18,0.2227
2019-07-19,1.6667
2019-07-22,-2.2951
2019-07-23,-4.698
2019-07-24,-1.2911000000000001
2019-07-25,7.0155
2019-07-26,-6.1111
2019-07-29,4.0237
2019-07-30,-7.8498
2019-07-31,1.9889000000000001
2019-08-01,1.4393
2019-08-02,-4.5346
2019-08-05,0.0
2019-08-06,-7.9513
2019-08-07,-1.4109
2019-08-08,3.168
2019-08-09,2.6702
2019-08-12,-2.4707
2019-08-13,2.0
2019-08-14,-9.8039
2019-08-15,9.1304
2019-08-16,1.8446
2019-08-19,1.7095
2019-08-20,-2.1654
2019-08-21,-5.6493
2019-08-22,-2.7778
2019-08-23,0.4286
2019-08-26,9.3627
2019-08-27,-9.5666
2019-08-28,-3.1168
2019-08-29,8.2245
2019-08-30,0.6859
2019-09-03,-2.9973
2019-09-04,-1.4045
2019-09-05,1.1396
2019-09-06,-4.507
2019-09-09,5.4572
2019-09-10,-1.6783000000000001
2019-09-11,27.596
2019-09-12,1.7837
2019-09-13,6.7908
2019-09-16,4.2051
2019-09-17,16.1417
2019-09-18,1.7797
2019-09-19,-15.9034
2019-09-20,-5.9406
2019-09-23,15.7895
2019-09-24,1.0909
2019-09-25,3.4173
2019-09-26,1.3913
2019-09-27,-1.3293
2019-09-30,-0.9996
2019-10-01,-2.7217000000000002
2019-10-02,-5.2347
2019-10-03,5.0476
2019-10-04,-4.8051
2019-10-07,0.9524
2019-10-08,-5.7075
2019-10-09,0.05
2019-10-10,-0.117
2019-10-11,-3.0866
