ticker,JZZI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-04-14,-28.5714
2005-06-14,-50.0
2006-02-21,-80.0
2006-02-28,100.0
2006-09-18,20.0
2006-10-25,108.3333
2006-10-26,100.0
2007-11-28,-55.6
2007-12-14,-81.982
2008-03-06,100.0
2008-03-12,-75.0
2008-03-18,-50.0
2008-03-20,-20.0
2008-03-24,-50.0
2008-03-25,100.0
2008-03-31,-50.0
2008-04-03,100.0
2008-04-08,0.0
2008-05-02,-25.0
2008-05-05,13.3333
2008-05-06,0.0
2008-05-07,0.0
2008-05-08,-5.8824
2008-05-09,-6.25
2008-05-12,13.3333
2008-05-13,-11.7647
2008-05-15,-6.6667
2008-05-20,-7.1429
2008-05-21,-7.6923
2008-05-27,-16.6667
2008-05-28,0.0
2008-06-10,-10.0
2008-06-11,11.1111
2008-06-16,0.0
2008-06-19,-10.0
2008-06-23,0.0
2008-06-24,0.0
2008-06-26,-11.1111
2008-06-30,-12.5
2008-07-23,-28.5714
2008-07-24,0.0
2008-08-05,-60.0
2008-08-08,0.0
2008-08-11,0.0
2008-08-27,0.0
2008-09-03,75.0
2008-09-08,-42.8571
2008-09-17,0.0
2008-09-19,0.0
2008-09-23,0.0
2008-09-30,-50.0
2008-10-01,0.0
2008-10-10,0.0
2008-10-13,0.0
2008-10-14,0.0
2008-10-16,200.0
2008-10-17,-3.3333
2008-10-20,3.4483
2008-10-22,-33.3333
2008-10-23,25.0
2008-10-24,20.0
2008-10-27,33.3333
2008-10-28,0.0
2008-10-29,-25.0
2008-10-30,33.3333
2008-10-31,-12.5
2008-11-03,-42.8571
2008-11-06,-50.0
2008-11-10,50.0
2008-11-11,-33.3333
2008-11-13,0.0
2008-11-17,0.0
2008-11-18,0.0
2008-11-19,0.0
2008-11-20,-90.0
2008-11-21,0.0
2008-11-26,900.0
2008-12-08,-90.0
2008-12-12,100.0
2008-12-15,0.0
2008-12-19,-25.0
2009-01-12,166.6667
2009-01-26,25.0
2009-02-02,-20.0
2009-02-06,0.0
2009-02-17,0.0
2009-02-26,0.0
2009-03-04,-50.0
2009-03-12,-50.0
2009-03-13,0.0
2009-03-18,0.0
2009-03-26,0.0
2009-03-30,300.0
2009-04-01,0.0
2009-04-13,0.0
2009-04-14,-75.0
2009-05-07,0.0
2009-05-18,0.0
2009-05-19,0.0
2009-07-01,100.0
2009-08-07,0.0
2009-08-11,0.0
2009-08-21,0.0
2009-08-31,-75.0
2009-09-08,25.0
2010-02-23,280.0
