ticker,NPAUU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-09-11,0.4
2019-09-12,0.0
2019-09-13,-0.0996
2019-09-16,-0.0997
2019-09-17,0.0
2019-09-18,0.0998
2019-09-19,0.0997
2019-09-20,0.0
2019-09-23,-0.0199
2019-09-24,0.1195
2019-09-25,0.0995
2019-09-26,-0.002
2019-09-27,0.002
2019-09-30,0.3131
2019-10-01,-0.3121
2019-10-02,0.0
2019-10-03,0.0994
2019-10-04,0.0
2019-10-07,0.0
2019-10-08,0.0993
2019-10-09,0.1984
2019-10-10,-0.198
2019-10-11,0.0
2019-10-14,0.0
2019-10-15,0.0
2019-10-16,0.0
2019-10-17,0.0
2019-10-18,-0.0992
2019-10-24,0.0
2019-10-25,0.0993
2019-10-28,0.0
2019-10-29,0.0
2019-10-30,0.0
2019-10-31,0.0992
2019-11-01,-0.0991
2019-11-04,0.2976
2019-11-05,-0.0989
2019-11-06,0.198
2019-11-07,0.0
2019-11-08,0.0
2019-11-11,0.0988
2019-11-12,-0.0967
2019-11-13,0.0474
2019-11-15,0.1481
2019-11-18,0.1972
2019-11-19,0.8858
2019-11-20,-0.5854
2019-11-21,0.0981
2019-11-22,0.0
2019-11-26,0.0
2019-11-27,0.098
2019-11-29,0.0979
2019-12-02,0.0
2019-12-03,-0.0978
2019-12-04,0.7835
2019-12-05,-0.2585
2019-12-06,0.0555
2019-12-13,0.3009
2019-12-16,-0.1942
2019-12-17,0.0
2019-12-18,-0.0973
2019-12-19,0.0974
2019-12-20,0.0
2020-01-02,0.2918
2020-01-03,-0.291
2020-01-06,0.1946
2020-01-08,0.0262
2020-01-09,0.4591
2020-01-10,0.4831
2020-01-13,-0.0962
2020-01-15,-0.1444
2020-01-23,0.0482
2020-01-24,0.1927
2020-02-03,0.0
2020-02-04,-0.1923
2020-02-06,0.3854
2020-02-10,0.096
2020-02-21,-0.2876
2020-02-24,0.2885
2020-02-26,-0.0959
2020-02-27,0.2879
2020-02-28,-0.956
2020-03-02,0.7014
2020-03-10,0.4538
2020-03-12,-1.6237
2020-03-13,-1.4563
2020-03-16,-1.4778
2020-03-19,-2.0
2020-03-24,7.1429
2020-03-27,-5.4762
2020-03-31,3.5134
2020-04-06,1.716
2020-05-27,-3.5407
2020-05-29,0.496
2020-06-04,0.691
2020-06-09,-0.4902
2020-06-15,0.197
2020-06-18,1.2783
2020-06-19,-0.4408
2020-06-23,-0.0449
2020-06-24,1.4634
2020-06-29,0.9615
2020-06-30,0.4762
2020-07-02,0.4739
2020-07-06,0.9434
2020-07-08,-2.0383
2020-07-10,1.1267
2020-07-13,0.0
2020-07-14,-0.0943
2020-07-15,1.6053
2020-07-16,-2.4164
2020-07-17,0.381
2020-07-20,0.5693
2020-07-23,1.8868
