ticker,UHAL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.0
2000-01-04,0.5051
2000-01-05,-1.5074999999999998
2000-01-06,5.102
2000-01-07,-0.9709
2000-01-10,1.9607999999999999
2000-01-11,-1.4423
2000-01-12,1.4634
2000-01-13,-0.4808
2000-01-14,0.2415
2000-01-18,-1.2048
2000-01-19,0.9756
2000-01-20,0.2415
2000-01-21,1.2048
2000-01-24,2.7976
2000-01-25,-2.2583
2000-01-26,-1.8957000000000002
2000-01-27,0.4831
2000-01-28,-0.9615
2000-01-31,0.9709
2000-02-01,-5.7692
2000-02-02,1.0204
2000-02-03,1.5152
2000-02-04,0.2488
2000-02-07,-0.7444
2000-02-08,-2.0
2000-02-09,0.7653
2000-02-10,-1.3924
2000-02-11,-19.3838
2000-02-14,-7.6433
2000-02-15,7.5862
2000-02-16,-3.2051
2000-02-17,0.0
2000-02-18,1.3245
2000-02-22,-2.1242
2000-02-23,-3.172
2000-02-24,-3.1034
2000-02-25,-1.7793999999999999
2000-02-28,1.4493
2000-02-29,-2.1429
2000-03-01,-2.9196999999999997
2000-03-02,-0.7519
2000-03-03,1.8939
2000-03-06,-0.7435
2000-03-07,1.8727
2000-03-08,0.7353
2000-03-09,5.1095
2000-03-10,-4.8611
2000-03-13,-0.7299
2000-03-14,0.3676
2000-03-15,-0.3663
2000-03-16,3.3088
2000-03-17,-1.0676
2000-03-20,-1.7986
2000-03-21,-0.3663
2000-03-22,2.9412000000000003
2000-03-23,-0.3571
2000-03-24,1.7921
2000-03-27,-0.3521
2000-03-28,0.0
2000-03-29,1.7668
2000-03-30,3.4722
2000-03-31,-1.3423
2000-04-03,-1.7006999999999999
2000-04-04,-2.4221
2000-04-05,-2.4823
2000-04-06,3.2727
2000-04-07,2.1127
2000-04-10,-0.6897
2000-04-11,-3.125
2000-04-12,3.2258
2000-04-13,-4.7743
2000-04-14,-3.7375
2000-04-17,-0.7576
2000-04-18,3.8167999999999997
2000-04-19,-1.2868
2000-04-20,-0.9311
2000-04-24,1.5038
2000-04-25,-0.7407
2000-04-26,0.0
2000-04-27,0.3731
2000-04-28,-0.3717
2000-05-01,-2.9851
2000-05-02,1.5385
2000-05-03,2.2727
2000-05-04,0.0
2000-05-05,-1.3889
2000-05-08,1.0329
2000-05-09,-0.7435
2000-05-10,-1.1236
2000-05-11,0.3788
2000-05-12,0.7547
2000-05-15,0.0
2000-05-16,6.367
2000-05-17,0.7042
2000-05-18,1.3986
2000-05-19,-2.7586
