ticker,HJLI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-05-31,4.8
2018-06-01,-4.9618
2018-06-04,-4.8193
2018-06-05,-2.3207
2018-06-06,-4.7516
2018-06-07,-2.4375999999999998
2018-06-08,14.817
2018-06-11,-6.4777000000000005
2018-06-12,-5.8442
2018-06-13,-3.9057
2018-06-14,8.8491
2018-06-15,3.2967
2018-06-18,4.8936
2018-06-19,-6.6937
2018-06-20,3.6957
2018-06-21,-6.7086
2018-06-22,-2.2472
2018-06-25,-4.1195
2018-06-26,-2.6566
2018-06-27,-15.0246
2018-06-28,-1.4493
2018-06-29,10.2941
2018-07-02,-3.0933
2018-07-03,1.2658
2018-07-05,-5.4348
2018-07-06,-2.2989
2018-07-09,-2.0588
2018-07-10,4.8048
2018-07-11,3.1519
2018-07-12,-8.3333
2018-07-13,-3.9394
2018-07-16,-5.9937000000000005
2018-07-17,-1.0067
2018-07-18,-1.0169
2018-07-19,2.6164
2018-07-20,0.1201
2018-07-23,3.13
2018-07-24,-5.1553
2018-07-25,-6.2841000000000005
2018-07-26,-4.0
2018-07-27,0.3788
2018-07-30,-0.3774
2018-07-31,13.6364
2018-08-01,-0.6667
2018-08-02,-3.4832
2018-08-03,-8.5599
2018-08-06,0.3802
2018-08-07,-3.4091
2018-08-08,-4.7059
2018-08-09,1.8971
2018-08-10,-5.4965
2018-08-13,-3.4188
2018-08-14,9.292
2018-08-15,-8.502
2018-08-16,2.2124
2018-08-17,6.0606
2018-08-20,-2.0408
2018-08-21,-7.0833
2018-08-22,4.2600999999999996
2018-08-23,-1.9355
2018-08-24,-7.8947
2018-08-27,7.1429
2018-08-28,0.0
2018-08-29,0.4444
2018-08-30,0.4425
2018-08-31,1.3216
2018-09-04,-9.1304
2018-09-05,-0.4785
2018-09-06,11.9567
2018-09-07,-3.5685000000000002
2018-09-10,-1.5853000000000002
2018-09-11,3.6199
2018-09-12,-2.6201
2018-09-13,1.3453
2018-09-14,-0.6637
2018-09-17,6.9042
2018-09-18,0.4167
2018-09-19,-7.4689
2018-09-20,13.0045
2018-09-21,4.7619
2018-09-24,2.6515
2018-09-25,1.107
2018-09-26,-6.5693
2018-09-27,4.6875
2018-09-28,0.0
2018-10-01,8.209
2018-10-02,-11.3793
2018-10-03,16.3424
2018-10-04,2.3411
2018-10-05,-2.7516
2018-10-08,-2.5472
2018-10-09,-7.2414
2018-10-10,-12.6394
2018-10-11,2.5532
2018-10-12,-0.8299
2018-10-15,-0.4184
2018-10-16,-4.6218
