ticker,ATV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-03,38.7097
2007-05-04,19.4884
2007-05-07,-8.5247
2007-05-08,-2.1277
2007-05-09,3.6957
2007-05-10,-3.8994
2007-05-11,1.4398
2007-05-14,6.0215
2007-05-15,-1.8256000000000001
2007-05-16,0.7025
2007-05-17,-3.9802999999999997
2007-05-18,1.453
2007-05-21,0.8846
2007-05-22,-1.2944
2007-05-23,4.6954
2007-05-24,10.7071
2007-05-25,9.781
2007-05-29,-0.266
2007-05-30,-0.8333
2007-05-31,-0.8739
2007-06-01,0.0339
2007-06-04,0.6441
2007-06-05,-1.482
2007-06-06,-1.7094
2007-06-07,-4.4522
2007-06-08,-1.3105
2007-06-11,-7.1191
2007-06-12,-2.8594
2007-06-13,-0.7359
2007-06-14,4.9835
2007-06-15,-0.51
2007-06-18,-0.5915
2007-06-19,2.0627
2007-06-20,-0.0777
2007-06-21,5.0175
2007-06-22,-5.5556
2007-06-25,0.6275
2007-06-26,-0.9353
2007-06-27,-1.3375
2007-06-28,-1.3158
2007-06-29,-2.2626
2007-07-02,3.5138
2007-07-03,-0.9185
2007-07-05,-3.2648
2007-07-06,-5.4583
2007-07-09,0.4848
2007-07-10,0.1105
2007-07-11,-2.5769
2007-07-12,-4.4385
2007-07-13,3.9059
2007-07-16,0.8147
2007-07-17,-0.4936
2007-07-18,-0.2257
2007-07-19,-0.4525
2007-07-20,-0.5455
2007-07-23,0.5484
2007-07-24,-1.1364
2007-07-25,-2.2989
2007-07-26,-3.7176
2007-07-27,-2.2483
2007-07-30,-4.75
2007-07-31,-7.2966
2007-08-01,-0.3398
2007-08-02,-0.7386
2007-08-03,-1.2013
2007-08-06,-14.1374
2007-08-07,-9.5816
2007-08-08,8.8806
2007-08-09,-3.9753
2007-08-10,-0.0714
2007-08-13,0.0
2007-08-14,3.5714
2007-08-15,-0.069
2007-08-16,-4.4168
2007-08-17,0.7942
2007-08-20,-1.0029
2007-08-21,-5.5716
2007-08-22,-0.3831
2007-08-23,0.6154
2007-08-24,5.3517
2007-08-27,6.6763
2007-08-28,-4.0816
2007-08-29,0.0
2007-08-30,-1.0638
2007-08-31,0.3584
2007-09-04,-1.0714
2007-09-05,-1.8051
2007-09-06,4.5588
2007-09-07,-2.0394
2007-09-10,-6.6762
2007-09-11,1.6154
2007-09-12,0.2271
2007-09-13,-0.9819
2007-09-14,1.9832
2007-09-17,-3.0666
2007-09-18,1.929
2007-09-19,6.9644
2007-09-20,20.0991
