ticker,CACI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-4.6961
2000-01-05,-1.7391
2000-01-06,2.0649
2000-01-07,-1.1561
2000-01-10,3.5088
2000-01-11,-1.1299
2000-01-12,0.2857
2000-01-13,1.4245
2000-01-14,-1.4045
2000-01-18,-2.849
2000-01-19,0.5865
2000-01-20,4.9563
2000-01-21,6.6667
2000-01-24,3.125
2000-01-25,-1.0101
2000-01-26,0.0
2000-01-27,0.0
2000-01-28,-3.5714
2000-01-31,-4.2328
2000-02-01,4.9724
2000-02-02,3.4211
2000-02-03,2.0356
2000-02-04,1.7456
2000-02-07,3.9215999999999998
2000-02-08,-2.5943
2000-02-09,-0.9685
2000-02-10,4.1565
2000-02-11,1.8779
2000-02-14,2.765
2000-02-15,2.2422
2000-02-16,-2.6316
2000-02-17,2.7027
2000-02-18,-1.7544
2000-02-22,-2.2321
2000-02-23,0.0
2000-02-24,3.1963
2000-02-25,-0.4425
2000-02-28,1.7778
2000-02-29,-0.655
2000-03-01,-1.978
2000-03-02,-0.6726
2000-03-03,-1.5800999999999998
2000-03-06,-0.9174
2000-03-07,0.2315
2000-03-08,0.2309
2000-03-09,2.3041
2000-03-10,-1.5766
2000-03-13,-0.9153
2000-03-14,1.6166
2000-03-15,0.4545
2000-03-16,0.4525
2000-03-17,-1.8018
2000-03-20,0.9174
2000-03-21,-1.5909
2000-03-22,1.1547
2000-03-23,-0.9132
2000-03-24,0.4608
2000-03-27,4.1284
2000-03-28,5.6167
2000-03-29,-0.3128
2000-03-30,0.4184
2000-03-31,-0.2083
2000-04-03,-2.2965
2000-04-04,-2.1368
2000-04-05,-3.4934
2000-04-06,0.905
2000-04-07,-2.4664
2000-04-10,-1.1494
2000-04-11,11.1628
2000-04-12,-5.6485
2000-04-13,-1.2749
2000-04-14,-5.671
2000-04-17,-0.9524
2000-04-18,-4.8077
2000-04-19,-4.3561
2000-04-20,1.6502
2000-04-24,-7.013
2000-04-25,0.5587
2000-04-26,-1.6667
2000-04-27,-3.3898
2000-04-28,9.6491
2000-05-01,5.6
2000-05-02,2.5253
2000-05-03,-3.9409
2000-05-04,-3.5897
2000-05-05,1.0638
2000-05-08,0.5263
2000-05-09,0.7853
2000-05-10,-2.3377
2000-05-11,-1.3298
2000-05-12,3.504
2000-05-15,-0.5208
2000-05-16,-1.0471
2000-05-17,0.0
2000-05-18,-4.2328
2000-05-19,-4.9724
2000-05-22,-2.6163
2000-05-23,-3.5821
