ticker,INTT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.25
2000-01-04,-0.7407
2000-01-05,0.0
2000-01-06,3.7313
2000-01-07,-2.1583
2000-01-10,3.6765
2000-01-11,14.539
2000-01-12,0.9288
2000-01-13,1.227
2000-01-14,1.8182
2000-01-18,4.1667
2000-01-19,2.2857
2000-01-20,-2.7933
2000-01-21,1.7241
2000-01-24,-0.565
2000-01-25,-0.5682
2000-01-26,0.5714
2000-01-27,-1.7045
2000-01-28,-2.6012
2000-01-31,-2.3739
2000-02-01,0.0
2000-02-02,-0.304
2000-02-03,4.5732
2000-02-04,3.7901
2000-02-07,2.2472
2000-02-08,10.989
2000-02-09,-4.9505
2000-02-10,-0.5208
2000-02-11,0.5236
2000-02-14,-1.5625
2000-02-15,-0.5291
2000-02-16,-1.5957
2000-02-17,-2.1622
2000-02-18,1.105
2000-02-22,0.0
2000-02-23,-0.5464
2000-02-24,4.3956
2000-02-25,7.3684
2000-02-28,0.0
2000-02-29,-1.9607999999999999
2000-03-01,2.0
2000-03-02,-22.549
2000-03-03,0.9494
2000-03-06,-7.21
2000-03-07,8.7838
2000-03-08,-4.9689
2000-03-09,1.9607999999999999
2000-03-10,9.6154
2000-03-13,-7.3099
2000-03-14,1.5773000000000001
2000-03-15,-5.5901
2000-03-16,-0.6579
2000-03-17,5.298
2000-03-20,-1.8868
2000-03-21,-0.641
2000-03-22,-4.5161
2000-03-23,-10.8108
2000-03-24,10.6061
2000-03-27,-1.3699
2000-03-28,3.4722
2000-03-29,-1.6779
2000-03-30,-0.3413
2000-03-31,14.725999999999999
2000-04-03,-6.8657
2000-04-04,1.9231
2000-04-05,5.6604
2000-04-06,1.1905000000000001
2000-04-07,0.0
2000-04-10,-5.8824
2000-04-11,-0.3125
2000-04-12,-3.1348
2000-04-13,3.8834999999999997
2000-04-14,-14.6417
2000-04-17,-11.6788
2000-04-18,19.0083
2000-04-19,14.5833
2000-04-20,6.0606
2000-04-24,5.7143
2000-04-25,-7.5676
2000-04-26,4.0936
2000-04-27,1.6854
2000-04-28,-1.105
2000-05-01,6.1453
2000-05-02,-1.8420999999999998
2000-05-03,-2.4129
2000-05-04,4.3956
2000-05-05,0.7895
2000-05-08,-3.9164
2000-05-09,-2.1739
2000-05-10,0.5556
2000-05-11,-9.3923
2000-05-12,7.3171
2000-05-15,-4.8295
2000-05-16,-7.7612
2000-05-17,0.9709
2000-05-18,-7.0513
2000-05-19,-1.3793
2000-05-22,-4.8951
