ticker,CZZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-08-16,0.0
2007-08-17,4.7619
2007-08-20,2.7273
2007-08-21,-2.2124
2007-08-22,0.4525
2007-08-23,-0.9009
2007-08-24,0.2727
2007-08-27,-0.9066
2007-08-28,-3.8426
2007-08-29,0.8563
2007-08-30,-0.9434
2007-08-31,0.0952
2007-09-04,4.1865
2007-09-05,-3.0137
2007-09-06,-2.5423999999999998
2007-09-07,-2.8986
2007-09-10,1.4925
2007-09-11,2.549
2007-09-12,2.1033
2007-09-13,4.0262
2007-09-14,1.7102
2007-09-17,-0.9735
2007-09-18,2.3235
2007-09-19,0.262
2007-09-20,1.3937
2007-09-21,5.2405
2007-09-24,1.2245
2007-09-25,-2.3387000000000002
2007-09-26,3.7984999999999998
2007-09-27,2.864
2007-09-28,-0.232
2007-10-01,2.9457
2007-10-02,-1.8824999999999998
2007-10-03,-4.6048
2007-10-04,4.1834
2007-10-05,2.2394
2007-10-08,-1.0574
2007-10-09,0.0
2007-10-10,-1.0687
2007-10-11,-4.2438
2007-10-12,-1.0475
2007-10-15,0.4886
2007-10-16,-1.1345
2007-10-17,-0.9016
2007-10-18,1.2407
2007-10-19,-1.9607999999999999
2007-10-22,0.0
2007-10-23,1.0
2007-10-24,0.5776
2007-10-25,-0.082
2007-10-26,1.7241
2007-10-29,0.0807
2007-10-30,0.7258
2007-10-31,1.6813
2007-11-01,-0.7087
2007-11-02,-3.6479
2007-11-05,-2.4691
2007-11-06,0.9283
2007-11-07,-3.5953
2007-11-08,-2.255
2007-11-09,-2.0408
2007-11-12,-6.7029
2007-11-13,4.8544
2007-11-14,1.9444
2007-11-15,-3.5422000000000002
2007-11-16,8.6629
2007-11-19,-5.3726
2007-11-20,-1.0989
2007-11-21,-4.3519
2007-11-23,1.1617
2007-11-26,-3.3493
2007-11-27,-0.9901
2007-11-28,6.0
2007-11-29,4.8113
2007-11-30,-2.3402
2007-12-03,0.9217
2007-12-04,-0.7306
2007-12-05,1.4719
2007-12-06,-1.1786
2007-12-07,0.2752
2007-12-10,-1.9213
2007-12-11,1.6791
2007-12-12,-2.4771
2007-12-13,-2.2578
2007-12-14,4.2348
2007-12-17,-4.4321
2007-12-18,5.0242
2007-12-19,-0.644
2007-12-20,1.7593
2007-12-21,2.1838
2007-12-24,2.2262
2007-12-26,0.9582
2007-12-27,0.9491
2007-12-28,6.9231
2007-12-31,0.7194
2008-01-02,-3.254
2008-01-03,0.7383
2008-01-04,-1.0586
