ticker,VGRBF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-07-29,9.0909
2013-07-31,-8.3333
2013-08-13,27.2727
2013-08-19,42.8571
2013-09-03,0.0
2013-09-25,0.0
2013-09-26,0.0
2013-10-03,35.0
2013-10-08,11.1111
2013-10-15,-26.6667
2013-10-18,36.3636
2013-10-29,0.0
2013-10-31,0.0
2013-11-06,0.0
2013-11-12,0.0
2013-11-18,-26.6667
2013-11-25,36.3636
2013-11-26,0.0
2013-12-03,33.3333
2013-12-04,0.0
2013-12-06,-20.0
2013-12-09,-6.25
2013-12-11,0.0
2013-12-12,-6.6667
2013-12-16,42.8571
2013-12-18,0.0
2013-12-26,0.0
2013-12-30,0.0
2014-01-23,-40.0
2014-01-24,66.6667
2014-01-28,-25.0
2014-01-29,0.6667
2014-01-30,2.649
2014-01-31,0.0
2014-02-06,0.0
2014-02-11,-2.5806
2014-02-12,-10.596
2014-02-18,3.7037
2014-02-19,0.0
2014-02-20,0.0
2014-02-27,7.1429
2014-03-03,-6.6667
2014-03-07,14.2857
2014-03-10,-6.25
2014-03-20,-6.6667
2014-03-25,0.0
2014-03-26,-3.5714
2014-03-27,0.0
2014-03-28,-11.1111
2014-03-31,0.0
2014-04-01,4.1667
2014-04-03,-16.0
2014-04-04,-3.8095
2014-04-07,-0.9901
2014-04-15,0.0
2014-04-29,-10.0
2014-04-30,-11.1111
2014-05-02,12.5
2014-05-07,0.0
2014-05-12,-11.1111
2014-05-16,0.0
2014-05-21,0.0
2014-05-22,12.5
2014-05-27,0.0
2014-05-29,-11.1111
2014-06-03,1.25
2014-06-26,23.4568
2014-06-27,30.0
2014-06-30,0.0
2014-07-02,-7.6923
2014-07-07,50.0
2014-07-09,-16.6667
2014-07-10,13.3333
2014-07-11,-11.7647
2014-07-16,26.6667
2014-07-18,-10.526299999999999
2014-07-21,17.5735
2014-07-24,-14.9468
2014-07-25,0.0
2014-07-29,5.8824
2014-07-31,0.0
2014-08-07,-5.5556
2014-08-13,0.0
2014-08-15,17.647100000000002
2014-08-18,12.5
2014-08-19,11.1111
2014-08-20,-12.0
2014-08-21,0.0
2014-08-27,13.6364
2014-09-02,-12.0
2014-09-04,2.2727
2014-09-05,-6.6667
2014-09-08,9.5238
2014-09-10,4.3478
2014-09-16,-16.6667
2014-09-22,49.9375
2014-09-23,-23.3014
2014-09-24,0.0
2014-09-29,0.0
2014-09-30,-8.6957
2014-10-01,0.0
2014-10-21,-4.7619
2014-10-27,-6.75
