ticker,BIVI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-06,0.0
2014-05-09,-3.3333
2014-05-12,0.0
2014-05-13,0.0
2014-06-06,-3.4483
2014-06-09,-46.4286
2014-06-11,206.6667
2014-06-12,-45.6522
2014-06-18,0.0
2014-06-24,0.0
2014-06-25,0.0
2014-07-17,-20.0
2014-07-22,0.0
2014-08-08,20.0
2014-08-11,93.75
2014-08-12,-54.8387
2014-08-13,0.0
2014-08-20,-4.7619
2014-08-25,50.0
2014-08-26,0.0
2014-09-16,0.0
2014-09-19,0.0
2014-10-15,16.6667
2014-10-17,-71.4286
2014-10-20,40.0
2014-10-24,35.7143
2014-10-28,31.5789
2014-10-29,0.0
2014-10-30,0.0
2014-10-31,40.0
2014-11-03,0.0
2014-11-04,0.0
2014-11-06,-22.8571
2014-11-12,3.7037
2014-11-21,-7.1429
2014-12-02,-3.8462
2014-12-12,80.0
2014-12-15,0.0
2014-12-18,-39.5556
2014-12-23,6.6176
2015-01-06,3.4483
2015-01-14,0.0
2015-01-26,33.3333
2015-01-28,12.5
2015-01-29,4.4444
2015-01-30,-12.766
2015-02-02,-2.439
2015-02-03,-25.0
2015-02-04,-6.6667
2015-02-05,-2.8571
2015-02-06,28.6765
2015-02-09,0.0
2015-02-10,-27.1429
2015-03-02,-1.9607999999999999
2015-03-03,4.0
2015-03-16,-3.8462
2015-03-17,24.0
2015-03-23,-29.0323
2015-03-30,54.5455
2015-03-31,-29.4118
2015-04-10,-41.6667
2015-04-29,42.8571
2015-04-30,0.0
2015-05-18,0.0
2015-05-20,0.0
2015-06-04,-15.0
2015-06-16,25.8824
2015-06-29,16.822400000000002
2015-07-14,-44.0
2015-07-16,114.2857
2015-07-21,-40.0
2015-08-05,0.0
2015-08-06,111.1111
2015-08-11,-47.3684
2015-08-12,0.0
2015-09-02,-40.0
2015-09-24,66.6667
2015-11-30,-40.0
2015-12-30,0.0
2016-01-14,0.8333
2016-01-21,-0.8264
2016-01-29,-16.6667
2016-03-11,0.125
2016-03-29,89.7628
2016-04-05,-68.4211
2016-04-18,186.6667
2016-04-19,-1.1628
2016-04-20,0.0
2016-04-25,0.0
2016-04-27,-9.4853
2016-04-29,-15.5158
2016-05-04,38.4615
2016-05-10,-5.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-27,16.9591
2016-06-22,25.0
2016-06-24,36.4
2016-06-27,5.5718
2016-07-06,-44.4444
2016-07-08,0.0
2016-07-22,-25.0
2016-07-25,-10.7917
