ticker,ESPIQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-22,-0.9615
2014-04-23,0.9709
2014-04-24,-2.5641
2014-04-25,-4.6053
2014-04-28,-6.2069
2014-04-29,-11.7647
2014-04-30,10.0
2014-05-01,-6.0606
2014-05-02,0.0
2014-05-05,9.6774
2014-05-06,0.0
2014-05-07,-13.6029
2014-05-08,2.9787
2014-05-09,-1.6529
2014-05-12,5.042
2014-05-13,19.2
2014-05-14,22.8188
2014-05-15,0.0
2014-05-16,-13.388
2014-05-19,-15.142
2014-05-20,1.1152
2014-05-21,6.9853
2014-05-22,2.4055
2014-05-23,-5.3690999999999995
2014-05-27,5.6738
2014-05-28,-8.0537
2014-05-29,-7.2993
2014-05-30,-4.3307
2014-06-02,-0.4115
2014-06-03,-4.1322
2014-06-04,3.4483
2014-06-05,0.0
2014-06-06,-1.25
2014-06-09,1.2658
2014-06-10,0.0
2014-06-11,2.0833
2014-06-12,-3.2653
2014-06-13,-1.2658
2014-06-16,-10.2564
2014-06-17,1.4285999999999999
2014-06-18,-17.3709
2014-06-19,0.0
2014-06-20,-1.1364
2014-06-23,1.1494
2014-06-24,-3.4091
2014-06-25,0.0
2014-06-26,-1.1764999999999999
2014-06-27,-13.0952
2014-06-30,-1.3699
2014-07-01,1.3889
2014-07-02,4.1096
2014-07-07,-13.8158
2014-07-08,-20.6107
2014-07-09,-7.6923
2014-07-10,-3.125
2014-07-11,20.4301
2014-07-14,0.0
2014-07-15,0.0
2014-07-16,0.0
2014-07-17,16.0714
2014-07-18,-3.0769
2014-07-21,14.2857
2014-07-22,27.7778
2014-07-23,-9.7826
2014-07-24,-4.8193
2014-07-25,-1.8987
2014-07-28,-12.2581
2014-07-29,0.0
2014-07-30,13.2353
2014-07-31,14.2857
2014-08-01,-2.8409
2014-08-06,-11.1111
2014-08-07,8.5526
2014-08-08,-3.0303
2014-08-11,-1.875
2014-08-12,0.0
2014-08-13,-9.5541
2014-08-14,8.4507
2014-08-15,1.9481000000000002
2014-08-18,-1.9108
2014-08-19,1.9481000000000002
2014-08-20,10.828
2014-08-21,1.1494
2014-08-22,0.0
2014-08-25,-4.5455
2014-08-26,-17.8571
2014-08-27,-3.6231999999999998
2014-08-29,-1.5038
2014-09-02,0.0
2014-09-03,-2.2901
2014-09-05,-6.25
2014-09-08,0.0
2014-09-09,0.0
2014-09-10,0.0
2014-09-11,29.1667
2014-09-12,0.0
2014-09-16,-7.0968
2014-09-17,-45.8333
2014-09-18,10.2564
