ticker,SAFE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-06-22,-5.0
2017-06-23,1.5263
2017-06-26,-0.2074
2017-06-27,-0.5195
2017-06-28,0.5222
2017-06-29,0.0
2017-06-30,-0.5195
2017-07-03,0.5222
2017-07-05,0.7792
2017-07-06,-0.2062
2017-07-07,0.2583
2017-07-10,0.0
2017-07-11,0.6698
2017-07-12,-0.2047
2017-07-13,0.2051
2017-07-14,0.7677
2017-07-17,-0.2539
2017-07-18,-0.1527
2017-07-19,-0.5609
2017-07-20,1.2821
2017-07-21,0.5063
2017-07-24,-3.1234
2017-07-25,-1.248
2017-07-26,-0.7899
2017-07-27,-2.8132
2017-07-28,-0.3277
2017-07-31,1.9178
2017-08-01,-0.6452
2017-08-02,0.1082
2017-08-03,1.5135
2017-08-04,-0.9052
2017-08-07,1.9344000000000001
2017-08-08,-0.2636
2017-08-09,-1.0571
2017-08-10,0.9615
2017-08-11,-0.3704
2017-08-14,0.9028
2017-08-15,1.0526
2017-08-16,1.0937999999999999
2017-08-17,0.9274
2017-08-18,0.051
2017-08-21,-0.9184
2017-08-22,-1.2873
2017-08-23,0.5738
2017-08-24,0.2075
2017-08-25,0.2588
2017-08-28,1.1358
2017-08-29,0.0
2017-08-30,0.3063
2017-08-31,0.0
2017-09-01,-0.1018
2017-09-05,0.5094
2017-09-06,0.2534
2017-09-07,-1.9211
2017-09-08,0.2577
2017-09-11,0.6684
2017-09-12,0.4597
2017-09-13,-1.1693
2017-09-14,0.823
2017-09-15,-1.8367
2017-09-18,-0.5198
2017-09-19,1.3584
2017-09-20,-0.6701
2017-09-21,0.0
2017-09-22,-0.8822
2017-09-25,-1.7277
2017-09-26,-0.2131
2017-09-27,-0.0534
2017-09-28,-2.0833
2017-09-29,2.5456
2017-10-02,0.7511
2017-10-03,-0.1597
2017-10-04,-0.1067
2017-10-05,-0.3203
2017-10-06,-0.1071
2017-10-09,-1.5550000000000002
2017-10-10,2.2331
2017-10-11,-1.1721
2017-10-12,-1.0243
2017-10-13,-0.3813
2017-10-16,0.1093
2017-10-17,2.13
2017-10-18,0.5348
2017-10-19,-1.4362
2017-10-20,-0.8095
2017-10-23,0.1632
2017-10-24,0.4889
2017-10-25,0.7568
2017-10-26,-1.2876
2017-10-27,0.5435
2017-10-30,-0.7027
2017-10-31,-2.1775
2017-11-01,0.0556
2017-11-02,-0.2781
2017-11-03,0.502
2017-11-06,-0.2775
2017-11-07,-3.3945
2017-11-08,2.5346
2017-11-09,0.5618
