ticker,BTOF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-04-11,2.5
2000-04-12,0.0
2000-07-11,-16.4619
2000-07-21,21.3235
2000-09-22,-15.1515
2000-09-25,20.0
2001-05-15,9.0909
2002-02-15,-20.0913
2002-02-21,1.4285999999999999
2003-03-10,-41.691
2003-03-11,5.0
2004-10-20,167.3522
2005-12-09,-13.5678
2005-12-21,13.9535
2006-03-03,-0.5102
2006-03-07,0.0
2006-03-21,1.641
2006-04-12,0.9082
2006-04-18,2.0
2006-05-26,1.9607999999999999
2007-01-19,2.6627
2007-01-26,-0.0961
2007-07-06,-6.0987
2007-08-16,1.0309
2008-12-11,-12.2056
2009-02-26,-17.0732
2011-05-11,-6.9693000000000005
2012-10-31,6.0717
2019-03-08,219.4888
