ticker,CPSN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-08-08,-0.6061
2018-08-09,12.1951
2018-08-10,0.5435
2018-08-13,4.8649000000000004
2018-08-14,3.6082
2018-08-15,0.995
2018-08-16,-6.4039
2018-08-17,8.4211
2018-08-20,-1.4563
2018-08-21,5.9113
2018-08-22,2.7907
2018-08-23,13.1222
2018-08-24,18.0
2018-08-27,35.5932
2018-08-28,-25.0
2018-08-29,-14.3333
2018-08-30,-1.9455
2018-08-31,0.0
2018-09-05,0.3968
2018-09-06,0.7905
2018-09-07,-0.7843
2018-09-10,-1.1858
2018-09-11,1.6
2018-09-12,-7.4803
2018-09-13,8.5106
2018-09-14,1.1764999999999999
2018-09-17,-1.1628
2018-09-18,1.9607999999999999
2018-09-19,-5.7692
2018-09-21,-6.9388
2018-09-24,-3.5088
2018-09-25,2.2727
2018-09-26,-2.2222
2018-09-27,-4.5455
2018-09-28,4.7619
2018-10-01,-4.5455
2018-10-02,4.7619
2018-10-03,1.8182
2018-10-04,2.6786
2018-10-05,-8.6957
2018-10-08,9.5238
2018-10-09,2.1739
2018-10-10,0.8511
2018-10-11,-6.7511
2018-10-12,16.2896
2018-10-15,1.1673
2018-10-16,-11.1538
2018-10-17,5.6277
2018-10-18,4.918
2018-10-19,1.5625
2018-10-22,7.6923
2018-10-23,-15.0
2018-10-24,-3.3613
2018-10-25,-2.1739
2018-10-26,2.2222
2018-10-29,2.1739
2018-10-30,2.1277
2018-10-31,-8.3333
2018-11-01,-0.9091
2018-11-02,10.0917
2018-11-05,-4.1667
2018-11-06,2.1739
2018-11-07,-2.1277
2018-11-08,-2.1739
2018-11-09,-2.2222
2018-11-12,-2.2727
2018-11-13,-2.3256
2018-11-14,4.7619
2018-11-15,4.5455
2018-11-16,2.1739
2018-11-19,1.2766
2018-11-26,9.2437
2018-11-28,-0.3846
2019-02-05,-11.1969
2019-02-12,-23.913
2019-02-21,-7.4286
2019-07-02,-11.7284
2019-08-02,-9.0909
2019-12-02,15.3846
2019-12-03,66.6667
2020-02-25,-60.0
2020-03-25,-20.0
2020-07-15,0.0
