ticker,TLRDQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.2553
2000-01-04,-4.2222
2000-01-05,6.2645
2000-01-06,-5.2402
2000-01-07,1.7281
2000-01-10,0.3398
2000-01-11,-2.2573
2000-01-12,-6.0046
2000-01-13,1.1671
2000-01-14,1.0322
2000-01-18,-0.7212
2000-01-19,0.7264
2000-01-20,1.2019
2000-01-21,2.1378
2000-01-24,-1.7442
2000-01-25,-2.4852
2000-01-26,-2.1845
2000-01-27,-0.2481
2000-01-28,-3.9801
2000-01-31,-1.0363
2000-02-01,-1.0471
2000-02-02,9.5238
2000-02-03,-7.2464
2000-02-04,8.0729
2000-02-07,0.8434
2000-02-08,-0.8363
2000-02-09,-4.8193
2000-02-10,-0.5063
2000-02-11,0.7634
2000-02-14,6.5657
2000-02-15,-4.1469
2000-02-16,-4.5735
2000-02-17,-4.6632
2000-02-18,0.0
2000-02-22,-3.2609
2000-02-23,1.6854
2000-02-24,-2.7624
2000-02-25,-4.2614
2000-02-28,8.9021
2000-02-29,1.2262
2000-03-01,5.7873
2000-03-02,0.5089
2000-03-03,2.7848
2000-03-06,-3.202
2000-03-07,-4.8346
2000-03-08,2.9412000000000003
2000-03-09,7.013
2000-03-10,-7.767
2000-03-13,0.2632
2000-03-14,4.9869
2000-03-15,0.25
2000-03-16,13.4663
2000-03-17,-4.1758
2000-03-20,2.7523
2000-03-21,-2.4554
2000-03-22,-0.9153
2000-03-23,-3.9261
2000-03-24,1.9231
2000-03-27,0.0
2000-03-28,-6.1321
2000-03-29,5.5276
2000-03-30,12.619
2000-03-31,0.2114
2000-04-03,-4.2194
2000-04-04,-0.6608
2000-04-05,-0.4435
2000-04-06,1.3363
2000-04-07,2.4176
2000-04-10,-6.4378
2000-04-11,1.6055000000000001
2000-04-12,0.2257
2000-04-13,-7.2072
2000-04-14,-7.6456
2000-04-17,-3.8108
2000-04-18,3.2787
2000-04-19,-1.8519
2000-04-20,2.4259
2000-04-24,-5.7895
2000-04-25,-3.6313
2000-04-26,-0.5797
2000-04-27,-6.1224
2000-04-28,6.5217
2000-05-01,3.207
2000-05-02,-2.2599
2000-05-03,-2.6012
2000-05-04,-1.7804
2000-05-05,9.9698
2000-05-08,-4.3956
2000-05-09,3.7356
2000-05-10,-0.831
2000-05-11,5.8659
2000-05-12,-3.6939
2000-05-15,3.5616
2000-05-16,-3.9683
2000-05-17,0.2755
2000-05-18,-12.0879
2000-05-19,-2.1875
2000-05-22,9.2652
