ticker,QBAK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-06-23,10.267900000000001
2000-06-26,-3.6437
2000-06-27,-5.8824
2000-06-28,2.6786
2000-06-29,-0.8696
2000-06-30,7.4561
2000-07-03,9.3878
2000-07-05,5.2239
2000-07-06,7.8014
2000-07-07,-6.5789
2000-07-10,-0.7042
2000-07-11,0.0
2000-07-12,-2.1277
2000-07-13,-1.4493
2000-07-14,10.2941
2000-07-17,12.6667
2000-07-18,0.5917
2000-07-19,-12.9412
2000-07-20,-1.3514
2000-07-21,2.7397
2000-07-24,0.0
2000-07-25,3.3333
2000-07-26,-4.5161
2000-07-27,-2.7027
2000-07-28,-4.8611
2000-07-31,2.9196999999999997
2000-08-01,-2.8369
2000-08-02,-6.2044
2000-08-03,-5.0584
2000-08-04,-6.5574
2000-08-07,6.1404
2000-08-08,-3.3058
2000-08-09,0.0
2000-08-10,-4.2735
2000-08-11,6.25
2000-08-14,14.2857
2000-08-15,7.3529
2000-08-16,-1.3699
2000-08-17,2.7778
2000-08-18,7.4324
2000-08-21,0.6289
2000-08-22,-1.25
2000-08-23,-5.0633
2000-08-24,1.3333
2000-08-25,-1.3158
2000-08-28,13.3333
2000-08-29,2.3529
2000-08-30,9.7701
2000-08-31,13.089
2000-09-01,-3.2407
2000-09-05,0.4785
2000-09-06,-2.3810000000000002
2000-09-07,-2.9268
2000-09-08,2.5126
2000-09-11,-6.8627
2000-09-12,-1.0526
2000-09-13,1.0638
2000-09-14,0.0
2000-09-15,-5.2632
2000-09-18,-2.7778
2000-09-19,-5.1429
2000-09-20,17.4699
2000-09-21,-3.5897
2000-09-22,-3.1915
2000-09-25,4.3956
2000-09-26,-1.5789
2000-09-27,2.6738
2000-09-28,-3.125
2000-09-29,2.6882
2000-10-02,-5.7592
2000-10-03,5.5556
2000-10-04,3.1579
2000-10-05,2.0408
2000-10-06,-2.0
2000-10-09,-3.0612
2000-10-10,-5.7895
2000-10-11,0.5587
2000-10-12,-1.6667
2000-10-13,-0.565
2000-10-16,8.5227
2000-10-17,-3.6649000000000003
2000-10-18,2.1739
2000-10-19,6.383
2000-10-20,18.0
2000-10-23,-0.4237
2000-10-24,-13.1915
2000-10-25,-9.8039
2000-10-26,-2.7174
2000-10-27,7.2626
2000-10-30,-1.5625
2000-10-31,-11.6402
2000-11-01,-1.1976
2000-11-02,-6.0606
2000-11-03,-0.6452
2000-11-06,2.5974
2000-11-07,3.1646
2000-11-08,-4.2945
2000-11-09,-6.4103
