ticker,NSA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-23,0.0
2015-04-24,0.7692
2015-04-27,0.3053
2015-04-28,0.4566
2015-04-29,-0.9848
2015-04-30,-1.8363
2015-05-01,1.4809
2015-05-04,-0.1536
2015-05-05,0.1538
2015-05-06,-0.6912
2015-05-07,-0.3094
2015-05-08,0.7758
2015-05-11,0.6159
2015-05-12,0.0765
2015-05-13,0.0765
2015-05-14,0.2292
2015-05-15,0.9146
2015-05-18,1.7372
2015-05-19,1.4104999999999999
2015-05-20,-0.2928
2015-05-21,0.2937
2015-05-22,-0.8053
2015-05-26,-1.476
2015-05-27,1.8727
2015-05-28,-0.8824
2015-05-29,0.0742
2015-06-01,-0.1483
2015-06-02,-1.1136
2015-06-03,0.1502
2015-06-04,-1.8740999999999999
2015-06-05,-0.0764
2015-06-08,0.5352
2015-06-09,0.7605
2015-06-10,-1.9623
2015-06-11,0.6159
2015-06-12,-0.5356
2015-06-15,-0.1538
2015-06-16,-1.0015
2015-06-17,-1.4786000000000001
2015-06-18,1.0269
2015-06-19,1.4855
2015-06-22,-3.0046
2015-06-23,2.3828
2015-06-24,-1.7843
2015-06-25,0.0
2015-06-26,1.1058
2015-06-29,0.3162
2015-06-30,-2.2853
2015-07-01,2.7419000000000002
2015-07-02,-1.4914
2015-07-06,0.4781
2015-07-07,0.9516
2015-07-08,0.1571
2015-07-09,-3.451
2015-07-10,3.1682
2015-07-13,-2.126
2015-07-14,1.1263
2015-07-15,-1.5911
2015-07-16,1.536
2015-07-17,-1.7516
2015-07-20,1.5396999999999998
2015-07-21,-2.6337
2015-07-22,0.3279
2015-07-23,-0.2451
2015-07-24,-2.457
2015-07-27,-0.2519
2015-07-28,0.5892
2015-07-29,-2.8452
2015-07-30,3.6176
2015-07-31,-1.6625
2015-08-03,4.5647
2015-08-04,0.2425
2015-08-05,-0.4032
2015-08-06,-4.7773
2015-08-07,3.8265000000000002
2015-08-10,-3.0303
2015-08-11,4.8986
2015-08-12,-0.9662
2015-08-13,1.9512
2015-08-14,1.8340999999999998
2015-08-17,1.4096
2015-08-18,0.8494
2015-08-19,-0.6126
2015-08-20,-0.7704
2015-08-21,-1.8634
2015-08-24,-2.3734
2015-08-25,-0.081
2015-08-26,2.8386
2015-08-27,1.2618
2015-08-28,0.9346
2015-08-31,-0.1543
2015-09-01,-2.0866
2015-09-02,1.4207
2015-09-03,1.323
2015-09-04,-1.6897
2015-09-08,2.0313
2015-09-09,-0.536
2015-09-10,0.4619
