ticker,JFU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-08-15,0.8421
2019-08-16,4.1754
2019-08-19,-2.6052
2019-08-20,23.4568
2019-08-21,-11.6667
2019-08-22,7.2642
2019-08-23,-6.6843
2019-08-26,2.262
2019-08-27,4.7926
2019-08-28,-0.6588
2019-08-29,0.1107
2019-08-30,-3.9584
2019-09-03,3.5911999999999997
2019-09-04,5.0667
2019-09-05,12.9442
2019-09-06,-3.3708
2019-09-09,-8.294599999999999
2019-09-10,-11.0735
2019-09-11,-0.1901
2019-09-12,-5.619
2019-09-13,2.4218
2019-09-16,2.266
2019-09-17,8.0925
2019-09-18,-2.852
2019-09-19,-0.9174
2019-09-20,0.0926
2019-09-23,-4.9029
2019-09-24,0.4864
2019-09-25,4.8403
2019-09-26,1.0157
2019-09-27,-5.3931000000000004
2019-09-30,7.8261
2019-10-01,5.7348
2019-10-02,7.8814
2019-10-03,-6.9128
2019-10-04,2.1097
2019-10-07,0.0
2019-10-08,-0.9091
2019-10-09,-2.3353
2019-10-10,0.3416
2019-10-11,2.1277
2019-10-14,-2.5
2019-10-15,0.4274
2019-10-16,1.1915
2019-10-17,0.9251
2019-10-18,-0.8333
2019-10-21,1.6806999999999999
2019-10-22,-4.9579
2019-10-23,1.0426
2019-10-24,1.0327
2019-10-25,5.3663
2019-10-28,-1.9167
2019-10-29,9.619299999999999
2019-10-30,-9.6992
2019-10-31,-4.746
2019-11-01,0.0874
2019-11-04,0.4367
2019-11-05,0.3478
2019-11-06,-0.7799
2019-11-07,0.8734
2019-11-08,-1.7316
2019-11-11,-1.4978
2019-11-12,-1.6099999999999999
2019-11-13,0.0909
2019-11-14,-0.0908
2019-11-15,0.1818
2019-11-18,-1.0889
2019-11-19,-0.8257
2019-11-20,-0.0093
2019-11-21,-0.0833
2019-11-22,-0.8333
2019-11-25,0.8403
2019-11-26,-0.0926
2019-11-27,-1.6219000000000001
2019-11-29,-2.7791
2019-12-02,1.7442
2019-12-03,-0.9524
2019-12-04,-2.8846
2019-12-05,-2.9703
2019-12-06,-2.0408
2019-12-09,-1.0417
2019-12-10,-9.0526
2019-12-11,10.1852
2019-12-12,0.4202
2019-12-13,-0.4184
2019-12-16,0.0
2019-12-17,-1.0504
2019-12-18,3.5032
2019-12-19,2.5641
2019-12-20,-4.4
2019-12-23,-0.4184
2019-12-24,-0.187
2019-12-26,-0.0232
2019-12-27,0.0
2019-12-30,1.0526
2019-12-31,0.0
2020-01-02,-1.0417
2020-01-03,0.0
