ticker,MCRAA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,-2.2222
2000-01-05,-2.2727
2000-01-10,2.3256
2000-01-11,0.0
2000-01-13,0.0
2000-01-14,0.0
2000-01-18,2.2727
2000-01-19,-2.2222
2000-01-20,-2.2727
2000-01-21,-1.1628
2000-01-24,0.0
2000-01-25,-4.7059
2000-01-27,-1.2346
2000-01-31,7.5
2000-02-08,-2.3256
2000-02-09,0.0
2000-02-10,0.0
2000-02-11,0.0
2000-02-16,2.3810000000000002
2000-02-18,-2.3256
2000-02-23,-3.5714
2000-02-29,3.7037
2000-03-01,-2.3810000000000002
2000-03-06,1.2195
2000-03-07,0.0
2000-03-15,-1.8795
2000-03-20,0.0
2000-03-22,1.25
2000-03-23,1.2346
2000-03-24,7.3171
2000-03-27,0.0
2000-03-29,0.0
2000-03-31,2.2727
2000-04-03,-4.4444
2000-04-04,6.9767
2000-04-13,-8.6957
2000-04-14,2.3810000000000002
2000-04-17,0.0
2000-04-18,2.3256
2000-04-19,-4.5455
2000-04-20,2.3810000000000002
2000-04-24,-2.3256
2000-04-26,-2.3810000000000002
2000-04-27,0.0
2000-04-28,4.878
2000-05-01,-2.3256
2000-05-04,0.0
2000-05-05,-4.7619
2000-05-08,0.0
2000-05-09,0.0
2000-05-11,1.25
2000-05-12,3.7037
2000-05-16,4.7619
2000-05-17,13.6364
2000-05-18,2.0
2000-05-19,-2.9412000000000003
2000-05-22,-5.0505
2000-05-23,-1.0638
2000-05-26,-5.3763
2000-05-30,13.6364
2000-05-31,-1.0
2000-06-01,-3.0303
2000-06-05,-10.4167
2000-06-06,-2.3256
2000-06-07,-2.3810000000000002
2000-06-08,-1.2195
2000-06-09,2.4691
2000-06-12,-3.6145
2000-06-14,-3.2
2000-06-15,2.6316
2000-06-20,-2.5641
2000-06-21,-5.2632
2000-06-22,0.0
2000-06-26,-2.7778
2000-06-27,-5.7143
2000-06-28,0.0
2000-06-30,3.0303
2000-07-07,0.0
2000-07-10,4.4118
2000-07-11,1.4085
2000-07-13,0.0
2000-07-14,0.0
2000-07-17,2.7778
2000-07-21,-1.3514
2000-07-26,9.589
2000-07-27,0.0
2000-07-28,0.0
2000-07-31,2.5
2000-08-04,4.878
2000-08-07,4.6512
2000-08-08,0.0
2000-08-09,-2.2222
2000-08-16,-2.2727
2000-08-17,-4.6512
2000-08-21,-1.2195
2000-08-22,-1.2346
2000-08-23,0.0
2000-08-24,0.0
2000-08-25,5.0
2000-08-31,-2.3810000000000002
