ticker,FCPB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,0.0
2000-01-10,0.0
2000-01-13,0.0
2000-01-24,0.0
2000-01-26,0.0
2000-01-31,0.0
2000-02-01,0.0
2000-02-09,0.0
2000-02-14,-5.0
2000-02-29,5.2632
2000-03-02,-10.0
2000-03-06,0.0
2000-03-08,11.1111
2000-03-28,-10.0
2000-03-31,0.0
2000-04-04,0.0
2000-04-11,-5.5556
2000-04-17,-17.647100000000002
2000-04-25,0.0
2000-04-26,-14.2857
2000-04-28,25.0
2000-05-12,-5.0
2000-05-15,0.0
2000-05-19,5.2632
2000-05-24,0.0
2000-06-21,-20.0
2000-06-22,16.6667
2000-07-10,-10.7143
2000-07-18,0.0
2000-07-27,0.0
2000-08-03,-4.0
2000-08-08,0.0
2000-08-17,0.0
2000-08-28,-8.3333
2000-08-29,-9.0909
2000-09-06,-17.5
2000-09-12,21.2121
2000-09-22,-5.0
2000-09-29,5.2632
2000-10-02,0.0
2000-10-03,0.0
2000-10-17,15.0
2000-11-03,0.0
2000-12-05,21.7391
2000-12-06,0.0
2000-12-12,-3.5714
2000-12-22,0.0
2000-12-28,-7.4074
2001-01-09,2.0
2001-01-10,-1.9607999999999999
2001-01-17,0.0
2001-02-01,2.0
2001-02-02,0.0
2001-02-05,9.8039
2001-02-09,-10.7143
2001-02-20,0.0
2001-02-26,0.0
2001-03-02,0.0
2001-03-05,0.0
2001-03-30,12.0
2001-04-12,0.0
2001-04-17,0.0
2001-05-07,-3.5714
2001-05-14,-3.7037
2001-05-17,-14.3077
2001-05-18,5.9246
2001-05-21,1.6949
2001-05-25,2.5
2001-05-30,-2.439
2001-06-08,-5.3333
2001-06-13,10.0352
2001-06-19,2.4
2001-06-21,-2.3438
2001-07-03,-0.8
2001-07-09,0.0
2001-07-17,-11.2903
2001-07-18,12.7273
2001-07-23,0.8065
2001-07-24,8.0
2001-07-25,-3.7037
2001-07-26,0.0
2001-07-27,3.8462
2001-08-02,0.0
2001-08-03,-2.2222
2001-08-08,2.2727
2001-08-15,3.7037
2001-08-28,5.3571
2001-09-06,35.5932
2001-09-07,0.0
2001-09-10,0.0
2001-09-17,0.0
2001-09-19,5.0
2001-09-20,0.0
2001-09-21,2.3810000000000002
2001-09-24,-6.9767
2001-09-25,7.2
2001-09-28,-2.0522
2001-10-01,-4.7619
2001-10-16,2.5
2001-12-18,-17.0732
2002-01-15,0.0
2002-01-23,0.0
2002-01-25,-2.3529
