ticker,ASNAQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.0075
2000-01-04,-2.7132
2000-01-05,0.3984
2000-01-06,-3.9683
2000-01-07,3.3058
2000-01-10,-1.2
2000-01-11,6.8826
2000-01-12,-0.1894
2000-01-13,2.8463000000000003
2000-01-14,5.9041
2000-01-18,-1.0453
2000-01-19,0.8803
2000-01-20,-0.8726
2000-01-21,1.7606000000000002
2000-01-24,-8.9965
2000-01-25,-5.3232
2000-01-26,0.8032
2000-01-27,3.1873
2000-01-28,-0.7722
2000-01-31,-2.7237
2000-02-01,0.0
2000-02-02,-2.0
2000-02-03,-1.6327
2000-02-04,4.5643
2000-02-07,-0.3968
2000-02-08,-3.7849
2000-02-09,0.6211
2000-02-10,-2.0576
2000-02-11,-2.9412000000000003
2000-02-14,-2.5974
2000-02-15,-0.4444
2000-02-16,-0.6696
2000-02-17,1.1236
2000-02-18,-1.3333
2000-02-22,-0.4505
2000-02-23,0.905
2000-02-24,0.8969
2000-02-25,-1.3333
2000-02-28,1.8018
2000-02-29,2.6549
2000-03-01,-0.8621
2000-03-02,-2.6087
2000-03-03,0.4464
2000-03-06,-0.4444
2000-03-07,1.3393
2000-03-08,-0.4405
2000-03-09,2.6549
2000-03-10,-0.431
2000-03-13,0.4329
2000-03-14,-0.431
2000-03-15,0.0
2000-03-16,10.2814
2000-03-17,-5.0049
2000-03-20,4.2355
2000-03-21,-2.4777
2000-03-22,2.6423
2000-03-23,-1.3860999999999999
2000-03-24,-3.6145
2000-03-27,5.8333
2000-03-28,-0.3937
2000-03-29,0.0
2000-03-30,5.5336
2000-03-31,15.3558
2000-04-03,0.0
2000-04-04,-3.7338
2000-04-05,2.5295
2000-04-06,5.2632
2000-04-07,7.5
2000-04-10,5.5233
2000-04-11,-1.3774
2000-04-12,-2.2346
2000-04-13,1.1429
2000-04-14,-3.3898
2000-04-17,-3.5088
2000-04-18,-1.2121
2000-04-19,2.1471999999999998
2000-04-20,-0.9009
2000-04-24,-3.6364
2000-04-25,-0.6289
2000-04-26,1.2658
2000-04-27,-0.9375
2000-04-28,-0.9464
2000-05-01,-10.5096
2000-05-02,1.4235
2000-05-03,-5.614
2000-05-04,1.487
2000-05-05,-0.3663
2000-05-08,3.3088
2000-05-09,6.0498
2000-05-10,-4.0268
2000-05-11,0.0
2000-05-12,1.049
2000-05-15,13.4948
2000-05-16,-1.5244
2000-05-17,-1.8576000000000001
2000-05-18,5.9937000000000005
2000-05-19,-1.7856999999999998
