ticker,KEN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-01-07,2.3047
2015-01-08,3.8462
2015-01-09,-1.5344
2015-01-12,12.842600000000001
2015-01-13,-5.2381
2015-01-14,-4.2714
2015-01-15,-9.1864
2015-01-16,-0.8092
2015-01-20,-1.5152
2015-01-21,-3.9053
2015-01-22,4.6182
2015-01-23,-4.0906
2015-01-26,6.1675
2015-01-27,-1.3873
2015-01-28,1.6303
2015-01-29,-0.9697
2015-01-30,-0.9894
2015-02-02,-2.4125
2015-02-03,-0.6631
2015-02-04,-2.8519
2015-02-05,2.9981
2015-02-09,-0.7277
2015-02-10,1.4661
2015-02-11,2.95
2015-02-12,2.0468
2015-02-17,2.6934
2015-02-18,1.4983
2015-02-19,0.2831
2015-02-23,1.0571
2015-02-24,-1.1003
2015-02-25,-0.1097
2015-02-27,0.0
2015-03-02,-2.6908
2015-03-03,5.1919
2015-03-04,1.3057
2015-03-06,-1.8184
2015-03-09,1.1003
2015-03-10,-2.5288
2015-03-11,0.4926
2015-03-12,1.2527
2015-03-13,0.5917
2015-03-16,1.0675
2015-03-17,0.0
2015-03-18,0.0284
2015-03-19,-3.6763
2015-03-20,0.4942
2015-03-23,5.4645
2015-03-24,1.0881
2015-03-25,-1.8965
2015-03-26,-1.2539
2015-03-30,0.5291
2015-03-31,0.2533
2015-04-01,3.1535
2015-04-02,1.1766
2015-04-06,0.1559
2015-04-07,0.7986
2015-04-08,0.9467
2015-04-09,0.5923
2015-04-14,0.5888
2015-04-15,-1.5805
2015-04-16,0.6642
2015-04-17,0.1754
2015-04-20,0.0713
2015-04-21,5.2056000000000004
2015-04-22,1.0738
2015-04-23,-0.1848
2015-04-24,0.9527
2015-04-27,-1.4479
2015-04-29,0.0
2015-04-30,0.6047
2015-05-01,0.7859
2015-05-04,-1.1927
2015-05-05,-3.7603999999999997
2015-05-06,0.7236
2015-05-07,-0.2874
2015-05-08,1.1527
2015-05-11,-0.6885
2015-05-12,-0.7889
2015-05-13,-0.0964
2015-05-14,0.6753
2015-05-18,0.0
2015-05-19,6.0134
2015-05-20,-1.0621
2015-05-21,-2.1928
2015-05-26,-4.2036
2015-05-27,2.3403
2015-05-28,-0.7408
2015-06-01,2.7142
2015-06-02,-4.486
2015-06-03,0.2446
2015-06-04,0.0
2015-06-05,-2.4289
2015-06-08,0.0
2015-06-09,0.0
2015-06-10,4.2001
2015-06-11,2.3425000000000002
2015-06-12,1.3602
2015-06-15,-8.0796
2015-06-16,0.8105
