ticker,CNNE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-24,2.8571
2014-06-25,-1.0047
2014-06-26,0.0
2014-06-27,0.8955
2014-06-30,3.5503
2014-07-01,-5.4857
2014-07-02,-1.6324
2014-07-03,-0.1229
2014-07-07,-6.4615
2014-07-08,3.0263
2014-07-09,-1.8519
2014-07-10,1.2362
2014-07-11,-0.8355
2014-07-14,-0.324
2014-07-15,2.9909
2014-07-16,0.3788
2014-07-17,0.3145
2014-07-18,0.4389
2014-07-21,-0.0624
2014-07-22,-0.0625
2014-07-23,1.75
2014-07-24,0.1843
2014-07-25,0.4292
2014-07-28,-1.4042
2014-07-29,-0.3096
2014-07-30,2.2981
2014-07-31,-0.6679
2014-08-01,-0.2445
2014-08-04,1.7770000000000001
2014-08-05,-0.0602
2014-08-06,0.0602
2014-08-07,0.5418
2014-08-08,-0.0599
2014-08-11,1.4979
2014-08-12,-0.5903
2014-08-13,-1.7814999999999999
2014-08-14,-2.1765
2014-08-15,-1.1125
2014-08-18,-0.6875
2014-08-19,0.8181
2014-08-20,-1.8102
2014-08-21,-0.2543
2014-08-22,-0.8923
2014-08-25,1.4148
2014-08-26,-0.7609
2014-08-27,-1.4058
2014-08-28,-1.5554000000000001
2014-08-29,-1.3825
2014-09-02,0.0
2014-09-03,2.3364
2014-09-04,2.1526
2014-09-05,-0.1916
2014-09-08,-2.4312
2014-09-09,-0.918
2014-09-10,1.9193
2014-09-11,-0.2597
2014-09-12,1.3021
2014-09-15,-1.4781
2014-09-16,-2.6745
2014-09-17,-0.7373
2014-09-18,0.7427
2014-09-19,-4.4906
2014-09-22,3.0877
2014-09-23,-1.2253
2014-09-24,-1.0338
2014-09-25,-2.0195
2014-09-26,1.4925
2014-09-29,-3.2913
2014-09-30,-0.3621
2014-10-01,-1.5988
2014-10-02,2.2895
2014-10-03,1.7328999999999999
2014-10-06,-1.4904
2014-10-07,-0.8646
2014-10-08,1.9622000000000002
2014-10-09,-3.2074
2014-10-10,-0.2946
2014-10-13,-1.034
2014-10-14,-1.1194
2014-10-15,-1.3585
2014-10-16,-0.5356
2014-10-17,0.3846
2014-10-20,2.5286999999999997
2014-10-21,1.8685
2014-10-22,0.0734
2014-10-23,0.7331
2014-10-24,-2.4745
2014-10-27,-0.0746
2014-10-28,-1.643
2014-10-29,2.2779
2014-10-30,-2.2272
2014-10-31,2.0501
2014-11-03,1.2649
2014-11-04,0.7348
2014-11-05,-1.4588
2014-11-06,0.2221
2014-11-07,2.7326
