ticker,EGTK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-07-16,28.2051
2007-07-17,-20.0
2007-07-18,-4.1667
2007-07-19,6.9565
2007-07-30,-2.439
2007-08-02,0.0
2007-08-03,-2.5
2007-08-23,-10.2564
2007-08-27,4.7619
2007-10-01,4.5455
2007-10-16,8.6957
2007-11-01,4.0
2007-11-12,-11.538499999999999
2007-11-14,26.087
2007-11-23,-6.8966
2007-11-26,3.7037
2007-12-11,-2.8571
2007-12-12,0.0
2007-12-19,2.9412000000000003
2007-12-27,-12.1429
2008-01-11,13.8211
2008-03-10,-10.7143
2008-03-11,0.0
2008-03-12,0.8
2008-03-13,-0.7937
2008-03-14,0.8
2008-03-17,1.5873
2008-03-18,0.7813
2008-03-19,0.7752
2008-03-20,1.5385
2008-03-24,0.7576
2008-03-25,0.0
2008-03-26,1.5038
2008-03-27,0.7407
2008-03-31,-0.3676
2008-04-01,1.107
2008-04-02,0.7299
2008-04-03,0.0
2008-04-07,0.0
2008-04-08,1.4493
2008-04-09,5.0
2008-04-10,2.7211
2008-04-11,0.6623
2008-04-14,0.6579
2008-04-15,0.0
2008-04-16,0.6536
2008-04-17,0.0
2008-04-18,0.6494
2008-04-21,0.6452
2008-04-22,-3.8462
2008-04-23,0.6667
2008-04-24,5.298
2008-04-25,-1.2579
2008-04-28,1.9108
2008-04-29,0.625
2008-04-30,0.0
2008-05-01,0.0
2008-05-02,-0.6211
2008-05-05,2.5
2008-05-06,0.6098
2008-05-07,0.6061
2008-05-08,0.6024
2008-05-09,0.0
2008-05-12,0.5988
2008-05-13,0.5952
2008-05-14,1.7751000000000001
2008-05-15,0.5814
2008-05-19,1.1561
2008-05-20,0.5714
2008-05-21,2.8409
2008-05-22,-0.5525
2008-05-23,1.1111
2008-05-27,-1.0989
2008-05-28,-4.4444
2008-05-29,1.7442
2008-06-02,0.5714
2008-06-03,1.1364
2008-06-04,1.6854
2008-06-05,-3.3149
2008-06-06,2.8571
2008-06-09,-1.1111
2008-06-10,0.0
2008-06-11,-2.2472
2008-06-12,1.1494
2008-06-13,1.7045
2008-06-16,0.5587
2008-06-17,-0.5556
2008-06-18,-0.5587
2008-06-19,-0.5618
2008-06-23,0.0
2008-06-24,0.0
2008-06-25,0.0
2008-06-26,0.0
2008-06-30,0.565
2008-07-01,0.0
2008-07-02,0.0
2008-07-03,-1.1236
2008-07-07,1.7045
2008-07-08,-2.7933
2008-07-09,0.0
2008-07-11,-2.2989
2008-07-14,-5.8824
