ticker,AMLZF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-02-22,0.0
2005-02-23,6.8846
2005-02-24,-10.0396
2005-02-28,0.8
2005-03-01,-0.7937
2005-03-02,0.0
2005-03-08,-14.4
2005-03-10,8.411200000000001
2005-03-14,10.3448
2005-03-15,0.7813
2005-03-18,0.7752
2005-03-22,-7.6923
2005-03-24,-10.8333
2005-03-28,2.8037
2005-03-29,-9.0909
2005-03-30,0.0
2005-03-31,-5.0
2005-04-01,0.0
2005-04-04,2.1053
2005-04-06,-2.0619
2005-04-07,2.1053
2005-04-08,0.0
2005-04-11,-7.2165
2005-04-12,0.0
2005-04-13,0.0
2005-04-14,11.1111
2005-04-15,10.4125
2005-04-19,0.6057
2005-04-20,-0.9734
2005-04-21,-4.5455
2005-04-22,90.4762
2005-04-26,-48.5
2005-05-02,-10.6796
2005-05-03,-7.6087
2005-05-04,-2.3529
2005-05-06,-1.2048
2005-05-09,3.6585
2005-05-10,-3.5294
2005-05-11,2.439
2005-05-12,-1.1905000000000001
2005-05-16,8.4337
2005-05-17,4.4444
2005-05-19,-22.3404
2005-05-24,9.589
2005-05-25,-18.75
2005-05-26,-4.6154
2005-05-27,3.2258
2005-05-31,1.5625
2005-06-07,-7.6923
2005-06-10,0.0
2005-06-17,8.3333
2005-06-22,-4.6154
2005-06-24,3.2258
2005-06-30,9.375
2005-07-05,14.2857
2005-07-11,6.25
2005-07-13,5.8824
2005-07-15,-11.1111
2005-07-18,6.25
2005-07-21,0.0
2005-07-26,0.0
2005-07-27,6.5147
2005-07-28,-3.9072
2005-08-02,0.0
2005-08-08,5.7471
2005-08-16,-2.1739
2005-08-25,0.0
2005-08-29,3.3333
2005-09-02,2.1505
2005-09-07,0.0
2005-09-13,-3.1579
2005-09-15,0.0
2005-09-21,0.0
2005-09-27,0.0
2005-09-28,-2.1739
2005-10-12,0.0
2005-10-14,-5.5556
2005-11-02,-5.8824
2005-11-03,0.0
2005-11-04,3.0
2005-11-07,-2.9126
2005-11-08,0.0
2005-11-09,0.0
2005-11-11,1.25
2005-11-15,1.2346
2005-11-17,-2.439
2005-11-21,3.75
2005-11-22,-3.6145
2005-11-25,0.0
2005-11-28,0.0
2005-11-30,-6.25
2005-12-02,0.0
2005-12-05,-6.6667
2005-12-06,7.1429
2005-12-07,0.0
2005-12-08,0.0
2005-12-09,0.0
2005-12-12,0.0
2005-12-14,-2.6667
2005-12-19,2.7397
2005-12-22,-1.3333
2006-01-10,35.1351
2006-01-18,10.0
