ticker,CORR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-02-02,0.0
2007-02-05,-0.9333
2007-02-06,0.3365
2007-02-07,0.8048
2007-02-08,-0.1996
2007-02-09,-0.3333
2007-02-12,-1.7391
2007-02-13,-1.0892
2007-02-14,2.4776
2007-02-15,-1.6118000000000001
2007-02-16,0.6826
2007-02-20,0.4068
2007-02-21,-0.2701
2007-02-22,-0.5416
2007-02-23,0.4765
2007-02-26,1.626
2007-02-27,-1.5133
2007-02-28,-1.8479999999999999
2007-03-01,0.0
2007-03-02,0.4828
2007-03-05,-0.8236
2007-03-06,-0.9689
2007-03-07,1.3277
2007-03-08,1.7241
2007-03-09,-0.2034
2007-03-12,0.0679
2007-03-13,0.2037
2007-03-14,1.355
2007-03-15,1.0695000000000001
2007-03-16,0.1984
2007-03-19,0.9901
2007-03-20,1.3072
2007-03-21,1.2903
2007-03-22,4.0764
2007-03-23,-0.7344
2007-03-26,-1.1714
2007-03-27,-0.3743
2007-03-28,0.2505
2007-03-29,1.9363000000000001
2007-03-30,0.3064
2007-04-02,-0.4887
2007-04-03,0.4297
2007-04-04,1.0391
2007-04-05,-1.8149
2007-04-09,0.1232
2007-04-10,1.2923
2007-04-11,0.3038
2007-04-12,1.0297
2007-04-13,0.1799
2007-04-16,-0.0007
2007-04-17,0.8386
2007-04-18,-0.2967
2007-04-19,-1.1905000000000001
2007-04-20,2.1084
2007-04-23,0.885
2007-04-24,1.1689
2007-04-25,2.3129
2007-04-26,1.2429000000000001
2007-04-27,-3.0692
2007-04-30,4.7208
2007-05-01,0.0
2007-05-02,0.3292
2007-05-03,-3.561
2007-05-04,-2.2159
2007-05-07,1.104
2007-05-08,0.1724
2007-05-09,2.926
2007-05-10,-0.1115
2007-05-11,1.6741000000000001
2007-05-14,1.3721
2007-05-15,-1.8408
2007-05-16,-3.8058
2007-05-17,3.3257
2007-05-18,-0.8935
2007-05-21,1.7414
2007-05-22,-2.2572
2007-05-23,0.7394
2007-05-24,-1.2972000000000001
2007-05-25,1.8857
2007-05-29,-0.4487
2007-05-30,0.2782
2007-05-31,0.2844
2007-06-01,-0.056
2007-06-04,3.9238
2007-06-05,-0.7551
2007-06-06,-2.1739
2007-06-07,0.0556
2007-06-08,-1.6101999999999999
2007-06-11,2.3138
2007-06-12,-1.3237999999999999
2007-06-13,1.4533
2007-06-14,0.551
2007-06-15,0.7911
2007-06-18,1.6071
2007-06-19,1.6051
2007-06-20,-1.8923999999999999
2007-06-21,-0.1107
