ticker,EEFT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.3058
2000-01-04,-2.5641
2000-01-05,-8.7719
2000-01-06,0.0
2000-01-07,0.0
2000-01-10,0.0
2000-01-11,-7.6923
2000-01-12,4.1667
2000-01-13,2.0
2000-01-14,0.0
2000-01-18,0.0
2000-01-19,0.0
2000-01-20,1.9607999999999999
2000-01-21,-0.9615
2000-01-24,0.9709
2000-01-25,-1.9231
2000-01-26,1.9607999999999999
2000-01-27,0.0
2000-01-28,0.0
2000-01-31,0.0
2000-02-01,0.0
2000-02-02,0.0
2000-02-03,3.8462
2000-02-04,1.8519
2000-02-07,-3.1818
2000-02-08,2.8169
2000-02-09,-1.3699
2000-02-10,4.6296
2000-02-11,6.1947
2000-02-14,21.6667
2000-02-15,3.4247
2000-02-16,-2.649
2000-02-17,-11.5646
2000-02-18,-5.0
2000-02-22,2.0243
2000-02-23,-0.7937
2000-02-24,-0.8
2000-02-25,0.0
2000-02-28,1.6129
2000-02-29,-4.7619
2000-03-01,0.0
2000-03-02,0.4167
2000-03-03,-2.0747
2000-03-06,-1.2711999999999999
2000-03-07,-3.8627000000000002
2000-03-08,17.8571
2000-03-09,0.3788
2000-03-10,-0.3774
2000-03-13,3.4091
2000-03-14,-4.7619
2000-03-15,-1.3462
2000-03-16,2.924
2000-03-17,3.7879
2000-03-20,2.9196999999999997
2000-03-21,-0.7092
2000-03-22,0.0
2000-03-23,1.4285999999999999
2000-03-24,4.2254
2000-03-27,5.4054
2000-03-28,0.0
2000-03-29,3.8462
2000-03-30,4.321
2000-03-31,0.5917
2000-04-03,-5.8824
2000-04-04,-11.25
2000-04-05,8.4507
2000-04-06,-1.2987
2000-04-07,0.0
2000-04-10,1.3158
2000-04-11,-1.2987
2000-04-12,1.3158
2000-04-13,-10.3896
2000-04-14,-8.6957
2000-04-17,-4.7619
2000-04-18,10.0
2000-04-19,-3.0303
2000-04-20,-0.3906
2000-04-24,-0.3922
2000-04-25,-1.5748
2000-04-26,0.8
2000-04-27,3.1746
2000-04-28,-1.5385
2000-05-01,0.0
2000-05-02,0.0
2000-05-03,1.5625
2000-05-04,-1.5385
2000-05-05,1.5625
2000-05-08,-6.1538
2000-05-09,-4.918
2000-05-10,5.1724
2000-05-11,1.6393
2000-05-12,0.8065
2000-05-15,5.6
2000-05-16,-3.0303
2000-05-17,-3.125
2000-05-18,0.0
2000-05-19,-1.6129
2000-05-22,-11.4754
2000-05-23,-5.5556
2000-05-24,-9.8039
