ticker,FUV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-21,-11.538499999999999
2017-09-22,-3.6522
2017-09-25,-12.4549
2017-09-26,-8.2474
2017-09-27,7.6404
2017-09-28,0.2088
2017-09-29,3.3333
2017-10-02,5.8468
2017-10-03,-1.1429
2017-10-04,1.1561
2017-10-05,-1.9048
2017-10-06,-7.5728
2017-10-09,10.084
2017-10-10,-6.3263
2017-10-11,-3.4328
2017-10-12,-2.1097
2017-10-13,-1.0776
2017-10-16,-4.5752
2017-10-17,-3.1963
2017-10-18,-6.3679
2017-10-19,-2.7708
2017-10-20,7.513
2017-10-23,6.2651
2017-10-24,0.2268
2017-10-25,4.0724
2017-10-26,4.1304
2017-10-27,-3.9666
2017-10-30,-6.3043
2017-10-31,-2.0882
2017-11-01,5.2133
2017-11-02,-3.8288
2017-11-03,-2.1077
2017-11-06,-0.2392
2017-11-07,-2.8777
2017-11-08,-6.1728
2017-11-09,-1.1658
2017-11-10,5.9723
2017-11-13,-6.2814
2017-11-14,3.6863
2017-11-15,0.0646
2017-11-16,-2.584
2017-11-17,-1.061
2017-11-20,0.0
2017-11-21,0.5362
2017-11-22,-1.064
2017-11-24,1.5067
2017-11-27,1.6994
2017-11-28,-2.0888
2017-11-29,-3.4667
2017-11-30,-11.6022
2017-12-01,-4.4031
2017-12-04,2.9747
2017-12-05,-1.5904
2017-12-06,-1.9355
2017-12-07,-2.9605
2017-12-08,-8.8136
2017-12-11,37.9182
2017-12-12,8.8949
2017-12-13,15.099
2017-12-14,7.3118
2017-12-15,-10.6212
2017-12-18,-15.2466
2017-12-19,5.8201
2017-12-20,-3.25
2017-12-21,-5.9432
2017-12-22,-5.2198
2017-12-26,5.2174
2017-12-27,0.0
2017-12-28,0.551
2017-12-29,9.863
2018-01-02,-3.7406
2018-01-03,-0.7772
2018-01-04,1.5666
2018-01-05,-3.856
2018-01-08,3.7433
2018-01-09,0.2577
2018-01-10,0.2571
2018-01-11,5.8974
2018-01-12,-5.3269
2018-01-16,0.0
2018-01-17,-2.8133
2018-01-18,-3.6842
2018-01-19,8.6831
2018-01-22,-5.224
2018-01-23,-2.6525
2018-01-24,1.0899
2018-01-25,1.3477000000000001
2018-01-26,-2.6596
2018-01-29,-8.1967
2018-01-30,-3.2738
2018-01-31,3.0769
2018-02-01,-4.1791
2018-02-02,-1.5575999999999999
2018-02-05,2.5
2018-02-06,5.2794
2018-02-07,-5.8651
2018-02-08,-5.6075
2018-02-09,3.9604
