ticker,ESTA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-19,37.5
2018-07-20,6.6263
2018-07-23,2.2357
2018-07-24,-2.7057
2018-07-25,-3.6189999999999998
2018-07-26,-0.5929
2018-07-27,-0.8748
2018-07-30,-1.0429
2018-07-31,5.4722
2018-08-01,0.2306
2018-08-02,-2.4923
2018-08-03,-0.3146
2018-08-06,0.5917
2018-08-07,-0.0784
2018-08-08,1.0989
2018-08-09,0.427
2018-08-10,2.6285
2018-08-13,2.5235
2018-08-14,-5.6943
2018-08-15,3.1554
2018-08-16,-0.9819
2018-08-17,0.8391
2018-08-20,-4.5386
2018-08-21,-0.3566
2018-08-22,-0.6362
2018-08-23,0.8003
2018-08-24,1.1116
2018-08-27,0.157
2018-08-28,1.9207999999999998
2018-08-29,2.5385
2018-08-30,3.901
2018-08-31,0.1805
2018-09-04,1.8018
2018-09-05,-4.354
2018-09-06,-1.9985
2018-09-07,0.6042
2018-09-10,-2.027
2018-09-11,0.0
2018-09-12,2.5479000000000003
2018-09-13,-1.7372999999999998
2018-09-14,-1.749
2018-09-17,-1.3932
2018-09-18,-4.3171
2018-09-19,-1.5587
2018-09-20,-1.4583
2018-09-21,2.7484
2018-09-24,-3.2922000000000002
2018-09-25,3.5745
2018-09-26,-1.1915
2018-09-27,-2.9106
2018-09-28,3.212
2018-10-01,-0.1245
2018-10-02,-0.1246
2018-10-03,-1.3727
2018-10-04,-1.1388
2018-10-05,1.3225
2018-10-08,-1.0947
2018-10-09,1.0643
2018-10-10,-3.5805
2018-10-11,-0.6116
2018-10-12,1.011
2018-10-15,-1.4795
2018-10-16,4.947
2018-10-17,1.8519
2018-10-18,-2.2314
2018-10-19,0.803
2018-10-22,-0.2096
2018-10-23,-3.3613
2018-10-24,-1.7826
2018-10-25,-1.9478
2018-10-26,-0.7223
2018-10-29,-4.0928
2018-10-30,2.1337
2018-10-31,5.9424
2018-11-01,4.5574
2018-11-02,1.5088
2018-11-05,4.3765
2018-11-06,0.4351
2018-11-07,1.1028
2018-11-08,-1.4803
2018-11-09,2.7679
2018-11-12,-3.8092
2018-11-13,8.0
2018-11-14,2.1111
2018-11-15,-1.8136
2018-11-16,-3.5094
2018-11-19,-2.9096
2018-11-20,3.4306
2018-11-21,-1.3343
2018-11-23,-3.7866999999999997
2018-11-26,6.4257
2018-11-27,2.3019
2018-11-28,-2.2500999999999998
2018-11-29,-0.9057
2018-11-30,-1.4471
2018-12-03,0.2318
2018-12-04,2.0432
