ticker,GBEN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-06-07,0.0
2010-06-09,-6.6667
2010-06-10,-27.1429
2010-06-11,47.0588
2010-06-14,-1.3333
2010-06-16,-2.7027
2010-06-18,0.0
2010-06-25,-1.3889
2010-06-29,-22.5352
2010-06-30,27.2727
2010-07-06,-27.1429
2010-07-07,0.0
2010-07-08,3.9215999999999998
2010-07-13,1.8868
2010-07-14,3.7037
2010-07-15,-10.7143
2010-07-21,-2.0
2010-07-23,18.3673
2010-08-05,0.0
2010-08-31,-68.9655
2010-09-01,0.0
2010-09-03,11.1111
2010-09-07,-2.5
2010-09-08,-28.2051
2010-09-09,-60.7143
2010-09-10,-27.2727
2010-09-13,0.0
2010-09-14,-25.0
2010-09-15,3.3333
2010-09-16,-3.2258
2010-09-17,-30.0
2010-09-20,14.2857
2010-09-21,16.6667
2010-09-22,-25.0
2010-09-23,-4.7619
2010-09-24,0.0
2010-09-27,10.0
2010-09-28,0.0
2010-09-29,0.0
2010-09-30,-4.5455
2010-10-01,0.0
2010-10-04,0.0
2010-10-05,0.0
2010-10-06,15.7738
2010-10-07,-17.2237
2010-10-08,18.323
2010-10-11,-16.0105
2010-10-12,-10.0
2010-10-13,0.0
2010-10-14,0.0
2010-10-15,-11.1111
2010-10-18,-6.25
2010-10-19,0.0
2010-10-20,25.8333
2010-10-21,-14.5695
2010-10-25,-13.1783
2010-10-28,-13.392900000000001
2010-10-29,-42.268
2010-11-01,41.0714
2010-11-02,0.0
2010-11-03,0.0
2010-11-04,143.038
2010-11-05,-2.8646000000000003
2010-11-08,10.992
2010-11-09,131.8841
2010-11-10,100.0
2010-11-11,4.1667
2010-11-12,-3.2
2010-11-15,11.5702
2010-11-16,-31.713
2010-11-17,-7.7966
2010-11-18,8.2353
2010-11-22,15.2174
2010-11-23,-14.1509
2010-11-24,-34.0659
2010-11-26,-1.6667
2010-11-29,-15.2542
2010-12-02,-10.0
2010-12-03,86.9444
2010-12-06,17.682
2010-12-07,-9.0909
2010-12-08,-11.1111
2010-12-09,37.5
2010-12-10,63.6364
2010-12-14,0.0
2010-12-15,-33.3333
2010-12-17,0.0
2010-12-20,0.0
2010-12-21,0.0
2010-12-22,0.0
2010-12-23,0.0
2010-12-29,20.0
2011-01-04,-16.6667
2011-01-05,0.0
2011-01-06,-12.5
2011-01-07,0.0
2011-01-11,20.0
2011-01-12,-28.5714
2011-01-13,40.0
2011-01-19,0.0
2011-01-24,-16.6667
2011-01-25,-14.2857
