ticker,KNSA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-05-24,8.1667
2018-05-25,-0.3082
2018-05-29,-11.3344
2018-05-30,-0.0581
2018-05-31,-0.5233
2018-06-01,4.0327
2018-06-04,1.2921
2018-06-05,1.1647
2018-06-06,-1.3158
2018-06-07,-3.5556
2018-06-08,0.0576
2018-06-11,2.3028
2018-06-12,2.4761
2018-06-13,0.6041
2018-06-14,2.6201
2018-06-15,-2.7128
2018-06-18,-4.3193
2018-06-19,8.5714
2018-06-20,7.1053
2018-06-21,-5.4054
2018-06-22,-0.1558
2018-06-25,-6.8678
2018-06-26,-2.2346
2018-06-27,-3.0286
2018-06-28,-1.4143
2018-06-29,3.7058999999999997
2018-07-02,-2.4784
2018-07-03,-1.2411
2018-07-05,0.3591
2018-07-06,-0.3578
2018-07-09,2.0347
2018-07-10,-0.4106
2018-07-11,-1.3545
2018-07-12,-0.1194
2018-07-13,-3.5266
2018-07-16,-1.7968
2018-07-17,-2.5237
2018-07-18,0.0647
2018-07-19,1.0996
2018-07-20,1.4075
2018-07-23,0.3785
2018-07-24,-2.4513
2018-07-25,-0.5799
2018-07-26,-10.7583
2018-07-27,-3.9215999999999998
2018-07-30,1.5873
2018-07-31,4.0923
2018-08-01,1.5726
2018-08-02,-1.7593
2018-08-03,-2.149
2018-08-06,1.6105
2018-08-07,0.072
2018-08-08,0.576
2018-08-09,0.1432
2018-08-10,1.0722
2018-08-13,3.819
2018-08-14,6.4714
2018-08-15,2.9431000000000003
2018-08-16,1.6781000000000001
2018-08-17,-2.5672
2018-08-20,6.1481
2018-08-21,1.4775
2018-08-22,2.2714
2018-08-23,-2.9043
2018-08-24,2.4047
2018-08-27,5.1546
2018-08-28,3.4858000000000002
2018-08-29,13.1579
2018-08-30,0.8837
2018-08-31,1.6136
2018-09-04,8.3938
2018-09-05,1.8836
2018-09-06,7.8882
2018-09-07,2.7418
2018-09-10,7.0052
2018-09-11,-9.9411
2018-09-12,-1.5769
2018-09-13,-2.3837
2018-09-14,6.0048
2018-09-17,5.7024
2018-09-18,-1.4647999999999999
2018-09-19,6.3452
2018-09-20,5.4552
2018-09-21,-3.7504
2018-09-24,-2.1834
2018-09-25,-0.103
2018-09-26,-8.6971
2018-09-27,-0.9413
2018-09-28,-3.0787
2018-10-01,-6.1961
2018-10-02,-0.4599
2018-10-03,-5.5439
2018-10-04,-1.7786
2018-10-05,-3.8479
2018-10-08,-3.8136
2018-10-09,-1.5173999999999999
2018-10-10,-4.8211
