ticker,ANSU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-10-10,900.0
2005-10-12,200.0
2005-10-13,33.3333
2005-10-18,0.0
2005-11-02,-12.5
2005-11-14,-40.0
2005-11-15,-28.5714
2005-11-16,1.3333
2006-02-21,-56.5789
2006-02-23,-33.3333
2006-02-28,13.6364
2006-03-10,-42.0
2006-04-17,-31.0345
2006-08-22,-50.0
2006-08-30,40.0
2006-12-28,-28.5714
2007-01-29,100.0
2007-01-31,0.0
2007-02-05,-30.0
2007-02-12,85.7143
2007-02-13,23.0769
2007-02-14,-31.25
2007-02-15,9.0909
2007-02-20,-33.3333
2007-02-21,0.0
2007-03-05,-25.0
2007-05-04,-16.6667
2007-08-21,-40.0
2007-10-16,233.3333
2007-10-17,150.0
2007-10-18,120.0
2007-10-19,-27.2727
2007-10-22,-25.0
2007-10-23,-11.6667
2007-10-24,16.9811
2007-10-25,22.5806
2007-10-26,10.526299999999999
2007-10-29,7.1429
2007-10-30,0.0
2007-10-31,0.0
2007-11-01,4.4444
2007-11-02,0.0
2007-11-06,-23.4043
2007-11-07,0.0
2007-11-08,-13.8889
2007-11-09,22.5806
2007-11-12,-39.4737
2007-11-14,-13.0435
2007-11-15,-5.0
2007-11-19,5.2632
2007-11-20,-25.0
2007-12-05,-26.6667
2007-12-18,27.2727
2007-12-21,0.0
2008-01-03,0.0
2008-01-11,0.0
2008-01-14,-64.2857
2008-01-15,60.0
2008-01-17,-37.5
2008-01-24,0.0
2008-02-05,60.0
2008-02-14,-37.5
2008-02-22,0.0
2008-03-11,20.0
2008-03-18,0.0
2008-03-24,-16.6667
2008-03-26,-20.0
2008-04-16,-25.0
2008-05-05,33.3333
2008-05-08,0.0
2008-05-22,-25.0
2008-06-12,-33.3333
2008-07-11,50.0
2008-09-17,-73.3333
2008-09-22,150.0
2008-09-23,0.0
2008-10-08,0.0
2008-11-06,-50.0
2008-12-11,10.0
2008-12-17,127.2727
2008-12-18,0.0
2008-12-26,-56.0
2008-12-31,0.0
2009-03-23,0.0
2009-03-25,0.0
2009-04-01,-9.0909
2009-04-06,0.0
2009-04-16,-45.0
2009-05-05,263.6364
2009-06-15,0.0
2009-07-20,-50.0
2009-08-20,150.0
2009-08-31,-56.0
2009-09-30,0.0
2009-10-19,0.0
2009-10-26,127.2727
2009-10-27,0.0
2009-11-12,-56.0
2009-11-25,0.0
2010-03-17,-9.0909
2010-07-29,0.0
2010-08-25,0.0
2010-09-27,0.0
2010-09-28,0.0
2010-10-04,0.0
