ticker,CBTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-08,10.4231
2017-11-09,-0.7663
2017-11-10,2.2113
2017-11-13,-1.2706
2017-11-14,-0.9565
2017-11-15,0.7199
2017-11-16,2.1618
2017-11-17,-1.1604
2017-11-20,-0.2072
2017-11-21,0.1038
2017-11-22,-0.5531
2017-11-24,-1.147
2017-11-27,0.7032
2017-11-28,0.8729
2017-11-29,0.2077
2017-11-30,-0.829
2017-12-01,0.7663
2017-12-04,-0.9679
2017-12-05,0.3839
2017-12-06,0.1391
2017-12-07,1.5972
2017-12-08,-1.9139
2017-12-11,0.0348
2017-12-12,-0.3483
2017-12-13,-0.5592
2017-12-14,0.1406
2017-12-15,-0.7722
2017-12-18,1.0612
2017-12-19,1.0501
2017-12-20,0.6928
2017-12-21,1.376
2017-12-22,0.1697
2017-12-26,0.5759
2017-12-27,-1.1452
2017-12-28,2.4191
2017-12-29,-1.1643
2018-01-02,-0.236
2018-01-03,-0.7773
2018-01-04,-0.8856
2018-01-05,-0.8591
2018-01-08,-0.4506
2018-01-09,0.5919
2018-01-10,2.6307
2018-01-11,0.8432
2018-01-12,0.3344
2018-01-16,-3.2667
2018-01-17,0.2757
2018-01-18,-0.2749
2018-01-19,0.5858
2018-01-22,-0.5139
2018-01-23,0.7576
2018-01-24,-0.8202
2018-01-25,-0.4135
2018-01-26,-0.4498
2018-01-29,0.4866
2018-01-30,-1.1415
2018-01-31,0.14
2018-02-01,0.8386
2018-02-02,-0.5544
2018-02-05,-0.2787
2018-02-06,1.3277
2018-02-07,-0.8621
2018-02-08,-2.1913
2018-02-09,0.8535
2018-02-12,0.1763
2018-02-13,-0.4224
2018-02-14,-0.4949
2018-02-15,0.0355
2018-02-16,-0.3906
2018-02-20,-0.5704
2018-02-21,0.753
2018-02-22,-0.0356
2018-02-23,-0.356
2018-02-26,-0.2858
2018-02-27,-1.254
2018-02-28,0.1814
2018-03-01,0.7968
2018-03-02,3.3058
2018-03-05,-0.9043
2018-03-06,-1.1934
2018-03-07,0.5684
2018-03-08,-0.1413
2018-03-09,0.6013
2018-03-12,1.6878
2018-03-13,-0.1383
2018-03-14,-0.0693
2018-03-15,-0.0347
2018-03-16,1.9411
2018-03-19,0.51
2018-03-20,-0.5413
2018-03-21,0.5442
2018-03-22,-1.7930000000000001
2018-03-23,-0.8267
2018-03-26,2.3272
2018-03-27,-1.5614
2018-03-28,0.6897
2018-03-29,0.9932
2018-04-02,-1.1209
2018-04-03,-0.0687
