ticker,SPTN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-08-03,-1.6760000000000002
2000-08-04,0.0
2000-08-07,-0.5682
2000-08-08,-6.8571
2000-08-09,0.6135
2000-08-10,-8.5366
2000-08-11,-2.6667
2000-08-14,-0.6849
2000-08-15,-0.6897
2000-08-16,-1.3889
2000-08-17,1.4085
2000-08-18,0.0
2000-08-21,0.0
2000-08-22,-3.4722
2000-08-23,2.8777
2000-08-24,2.0979
2000-08-25,-3.4247
2000-08-28,-2.1277
2000-08-29,-6.5217
2000-08-30,-0.7752
2000-08-31,-7.8125
2000-09-01,-1.6949
2000-09-05,0.0
2000-09-06,-4.3103
2000-09-07,-5.4054
2000-09-08,-14.2857
2000-09-11,-11.1111
2000-09-12,28.4375
2000-09-13,15.8151
2000-09-14,-4.2017
2000-09-15,0.8772
2000-09-18,-5.6522
2000-09-19,6.9124
2000-09-20,-5.1724
2000-09-21,-5.4545
2000-09-22,-3.8462
2000-09-25,0.5
2000-09-26,1.4925
2000-09-27,3.9215999999999998
2000-09-28,7.5472
2000-09-29,2.6316
2000-10-02,-4.2735
2000-10-03,-1.7856999999999998
2000-10-04,0.0
2000-10-05,-4.5455
2000-10-06,6.6667
2000-10-09,-5.3571
2000-10-10,11.7925
2000-10-11,-8.8608
2000-10-12,-3.7037
2000-10-13,-0.9615
2000-10-16,0.9709
2000-10-17,9.6154
2000-10-18,-2.6316
2000-10-19,0.9009
2000-10-20,-2.6786
2000-10-23,0.9174
2000-10-24,-2.7273
2000-10-25,0.9346
2000-10-26,0.0
2000-10-27,2.7778
2000-10-30,-2.7027
2000-10-31,3.7037
2000-11-01,-7.1429
2000-11-02,3.8462
2000-11-03,-3.7037
2000-11-06,2.8846
2000-11-07,0.9346
2000-11-08,0.0
2000-11-09,-4.6296
2000-11-10,2.9126
2000-11-13,-0.9434
2000-11-14,-3.8095
2000-11-15,2.9703
2000-11-16,0.0
2000-11-17,1.9231
2000-11-20,-1.8868
2000-11-21,-3.8462
2000-11-22,4.0
2000-11-24,-1.9231
2000-11-27,-2.9412000000000003
2000-11-28,-1.0101
2000-11-29,-2.0408
2000-11-30,-1.0417
2000-12-01,1.0526
2000-12-04,-5.2083
2000-12-05,1.0989
2000-12-06,1.087
2000-12-07,1.0753
2000-12-08,-1.0638
2000-12-11,1.0753
2000-12-12,1.0638
2000-12-13,-1.0526
2000-12-14,1.0638
2000-12-15,0.0
2000-12-18,5.2632
2000-12-19,0.0
2000-12-20,3.0
