ticker,NCPLL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-05-30,0.0
2003-07-21,700.0
2003-08-05,-87.5
2003-10-15,700.0
2003-10-22,0.0
2003-12-04,0.0
2003-12-31,-87.5
2004-05-17,0.0
2004-07-12,0.0
2004-07-28,1500.0
2004-10-04,-93.75
2004-10-06,0.0
2004-10-07,0.0
2004-12-27,700.0
2004-12-29,-87.5
2004-12-31,0.0
2005-03-14,7900.0
2005-05-16,-98.75
2005-06-03,39900.0
2005-06-07,-99.75
2005-08-15,700.0
2005-08-17,-87.5
2005-08-18,0.0
2008-02-08,39900.0
2012-01-20,-80.0
2012-01-23,0.0
2012-01-27,400.0
2012-02-10,-99.75
2012-03-28,0.0
2015-07-15,0.0
2015-07-16,0.0
2019-10-24,-20.0
2019-10-28,0.0
2019-10-29,0.0
2019-11-08,0.0
2019-11-13,0.0
2019-11-22,0.0
2020-07-08,0.0
2020-07-17,0.0
2020-07-30,0.0
