ticker,TUSK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-10-14,-11.6
2016-10-17,4.6003
2016-10-18,0.4326
2016-10-19,3.1587
2016-10-20,-0.2784
2016-10-21,0.4187
2016-10-24,0.0695
2016-10-25,0.0
2016-10-26,-1.3889
2016-10-27,0.5634
2016-10-28,-0.9804
2016-10-31,-4.5262
2016-11-01,0.8889
2016-11-02,-8.37
2016-11-03,1.7628
2016-11-04,1.6535
2016-11-07,5.4222
2016-11-08,-1.0287
2016-11-09,-0.4454
2016-11-10,0.2983
2016-11-11,2.1561
2016-11-14,1.0189
2016-11-15,5.5476
2016-11-16,-2.5256
2016-11-17,2.591
2016-11-18,-0.7509
2016-11-21,3.7827
2016-11-22,-1.0603
2016-11-23,0.5358
2016-11-25,-2.1985
2016-11-28,1.9074
2016-11-29,-1.0027
2016-11-30,8.2377
2016-12-01,1.5596
2016-12-02,0.4914
2016-12-05,4.8289
2016-12-06,0.5831
2016-12-07,-1.971
2016-12-08,-1.1827
2016-12-09,2.8127
2016-12-12,-4.5402000000000005
2016-12-13,-1.9512
2016-12-14,-7.3383
2016-12-15,-2.0134
2016-12-16,1.5068000000000001
2016-12-19,1.2146
2016-12-20,3.0
2016-12-21,0.0647
2016-12-22,0.0
2016-12-23,1.8111000000000002
2016-12-27,-1.9060000000000001
2016-12-28,-0.5181
2016-12-29,-2.2786
2016-12-30,1.2658
2017-01-03,1.1842
2017-01-04,3.3810000000000002
2017-01-05,3.8994
2017-01-06,2.3002000000000002
2017-01-09,-0.2367
2017-01-10,1.5421
2017-01-11,0.4673
2017-01-12,0.1744
2017-01-13,0.4643
2017-01-17,1.7330999999999999
2017-01-18,3.5207
2017-01-19,-1.0422
2017-01-20,3.6585
2017-01-23,-4.2246
2017-01-24,-0.7259
2017-01-25,0.6749
2017-01-26,1.5084
2017-01-27,-0.3302
2017-01-30,-1.6564999999999999
2017-01-31,1.0668
2017-02-01,1.1111
2017-02-02,0.9341
2017-02-03,2.613
2017-02-06,-2.3872999999999998
2017-02-07,-1.3043
2017-02-08,-0.3855
2017-02-09,-0.1658
2017-02-10,2.5471
2017-02-13,0.162
2017-02-14,9.434
2017-02-15,-2.3645
2017-02-16,0.2018
2017-02-17,1.3092
2017-02-21,5.2684
2017-02-22,0.9443
2017-02-23,0.7016
2017-02-24,0.9754
2017-02-27,0.782
2017-02-28,-1.8713
2017-03-01,4.4186
2017-03-02,-0.3563
2017-03-03,-3.6656
2017-03-06,-0.6032
2017-03-07,0.2801
