ticker,CKPT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-12-20,60.0
2017-01-04,68.75
2017-01-06,0.0
2017-01-11,11.1111
2017-01-13,-6.6667
2017-01-19,-32.1429
2017-01-20,15.7895
2017-01-25,0.0
2017-01-27,2.2727
2017-01-30,-2.2222
2017-01-31,-2.2727
2017-02-01,-25.5814
2017-02-02,12.5
2017-02-03,0.0
2017-02-06,11.1111
2017-02-08,-10.0
2017-02-17,16.6667
2017-02-28,42.8571
2017-03-01,-13.3325
2017-03-02,-0.001
2017-03-06,0.0
2017-03-09,1.9231
2017-03-10,-1.8868
2017-03-16,0.0
2017-03-22,-1.9231
2017-03-30,-1.9607999999999999
2017-04-05,0.0
2017-05-05,4.0
2017-05-08,0.0
2017-05-09,-7.6923
2017-05-10,-5.4167
2017-05-11,-3.0837
2017-05-12,0.0
2017-05-15,-2.2727
2017-05-24,-4.6512
2017-05-25,0.0
2017-05-30,-2.439
2017-05-31,1.25
2017-06-01,-1.2346
2017-06-06,0.0
2017-06-07,-2.5
2017-06-09,0.5128
2017-06-13,7.1429
2017-06-14,-7.1429
2017-06-20,0.0
2017-06-23,2.5641
2017-06-26,0.0
2017-06-27,-0.5
2017-06-28,0.5015
2017-06-29,-4.999
2017-06-30,4.7368
2017-07-03,-2.0101
2017-07-05,2.5641
2017-07-06,-2.5
2017-07-07,0.0
2017-07-11,-2.5641
2017-07-13,0.0
2017-07-14,-5.2632
2017-07-17,1.1111
2017-07-18,-1.0989
2017-07-20,-14.7778
2017-07-21,20.5997
2017-07-24,-2.7016
2017-07-25,-4.4455
2017-07-26,4.6512
2017-07-28,2.2222
2017-07-31,1.087
2017-08-01,1.0742
2017-08-03,-1.1479
2017-08-04,-3.1425
2017-08-07,0.0
2017-08-10,-3.2222
2017-08-11,-3.3054
2017-08-16,-2.0434
2017-08-18,-3.0303
2017-08-22,6.14
2017-08-23,-8.4641
2017-08-24,-0.6755
2017-08-25,3.6269
2017-08-31,-6.25
2017-09-11,-0.004
2017-09-12,-5.0629
2017-09-13,13.4017
2017-09-14,10.2276
2017-09-15,-0.5618
2017-09-18,-2.2599
2017-09-19,0.0
2017-09-20,0.578
2017-09-26,-7.4701
2017-09-28,-0.8708
2017-09-29,2.7569
2017-10-02,-2.439
2017-10-03,2.5
2017-10-04,-4.3732
2017-10-05,-10.9113
2017-10-06,-0.5125
2017-10-09,-3.8849
2017-10-10,0.2994
2017-10-11,-4.4776
2017-10-12,-5.3125
2017-10-13,7.17
