ticker,OSMT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-18,16.4286
2018-10-19,10.7975
2018-10-22,1.8826
2018-10-23,-3.4783
2018-10-24,-9.9099
2018-10-25,12.625
2018-10-26,-5.6604
2018-10-29,-2.2353
2018-10-30,4.8135
2018-10-31,-0.1148
2018-11-01,0.5747
2018-11-02,-0.8
2018-11-05,0.2304
2018-11-06,1.7241
2018-11-07,-0.339
2018-11-08,-1.3605
2018-11-09,-1.1494
2018-11-12,-0.9302
2018-11-13,-10.0939
2018-11-14,-1.436
2018-11-15,0.1325
2018-11-16,-0.3968
2018-11-19,-7.0385
2018-11-20,1.8571
2018-11-21,-6.0309
2018-11-23,10.4478
2018-11-26,-4.5946
2018-11-27,-11.4731
2018-11-28,8.96
2018-11-29,2.79
2018-11-30,12.5714
2018-12-03,12.0558
2018-12-04,-7.1348
2018-12-06,-7.0732
2018-12-07,2.8871
2018-12-10,0.1276
2018-12-11,3.4395
2018-12-12,0.3695
2018-12-13,-1.3497
2018-12-14,-0.6219
2018-12-17,-0.2503
2018-12-18,-0.3764
2018-12-19,-0.1259
2018-12-20,-0.6305
2018-12-21,0.0
2018-12-24,0.5076
2018-12-26,2.1465
2018-12-27,-10.0124
2018-12-28,-1.2363
2018-12-31,7.7886
2019-01-02,0.3871
2019-01-03,0.6427
2019-01-04,3.0651
2019-01-07,-1.487
2019-01-08,8.805
2019-01-09,-2.3121
2019-01-10,-1.7751000000000001
2019-01-11,0.1205
2019-01-14,2.4067
2019-01-15,2.8202
2019-01-16,-1.2570999999999999
2019-01-17,-5.2083
2019-01-18,0.1221
2019-01-22,-3.5366
2019-01-23,-2.6549
2019-01-24,-0.9091
2019-01-25,4.7181999999999995
2019-01-28,-2.6283
2019-01-29,-0.3856
2019-01-30,2.9677
2019-01-31,-1.7544
2019-02-01,2.0408
2019-02-04,-2.625
2019-02-05,2.5674
2019-02-06,-1.2516
2019-02-07,-0.2535
2019-02-08,0.1271
2019-02-11,-0.3807
2019-02-12,0.5096
2019-02-13,-4.943
2019-02-14,2.0
2019-02-15,3.0065
2019-02-19,1.5228000000000002
2019-02-20,-9.125
2019-02-21,0.1376
2019-02-22,-1.9231
2019-02-25,-0.2801
2019-02-26,-1.264
2019-02-27,2.5605
2019-02-28,-0.2774
2019-03-01,0.1391
2019-03-04,-0.2778
2019-03-05,0.0
2019-03-06,-3.3426
2019-03-07,-3.4582
2019-03-08,0.0
2019-03-11,2.5373
2019-03-12,-1.8923
