ticker,ATXI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-06-27,37.5
2017-06-28,-4.0
2017-06-29,-0.5051
2017-06-30,0.8883
2017-07-03,0.6289
2017-07-05,0.0
2017-07-06,-2.5
2017-07-07,-2.3077
2017-07-10,-2.7559
2017-07-11,-3.5088
2017-07-12,7.5524000000000004
2017-07-13,-2.2107
2017-07-14,2.7926
2017-07-17,-3.6223
2017-07-18,-2.2819
2017-07-19,-0.1374
2017-07-20,0.9629
2017-07-21,-2.0436
2017-07-24,-0.1391
2017-07-25,-2.3677
2017-07-26,0.428
2017-07-27,-0.8523
2017-07-28,0.5731
2017-07-31,-4.8433
2017-08-01,2.5449
2017-08-02,-1.1679
2017-08-03,3.1019
2017-08-04,-4.0115
2017-08-07,0.0
2017-08-08,1.0448
2017-08-09,-2.6588000000000003
2017-08-10,0.4552
2017-08-11,3.1722
2017-08-14,-0.8785
2017-08-15,-7.0901
2017-08-16,7.6312
2017-08-17,-1.3294000000000001
2017-08-18,-1.9461
2017-08-21,-1.9847000000000001
2017-08-22,0.0
2017-08-23,2.8037
2017-08-24,-1.5152
2017-08-25,-1.6923
2017-08-28,-2.1909
2017-08-29,-4.0
2017-08-30,4.1667
2017-08-31,-6.32
2017-09-01,2.4765
2017-09-05,0.0
2017-09-06,-0.3333
2017-09-07,0.3344
2017-09-08,2.0
2017-09-11,-2.6144
2017-09-12,0.3356
2017-09-13,0.8361
2017-09-14,-3.9801
2017-09-15,-4.8359
2017-09-18,0.726
2017-09-19,-0.1802
2017-09-20,0.1805
2017-09-21,-0.1802
2017-09-22,-1.6245
2017-09-25,-6.789
2017-09-26,0.9843
2017-09-27,2.1442
2017-09-28,-0.9542
2017-09-29,6.5511
2017-10-02,0.0
2017-10-03,1.4466999999999999
2017-10-04,-0.8913
2017-10-05,1.4388
2017-10-06,-0.5319
2017-10-09,-8.7344
2017-10-10,4.2969
2017-10-11,-1.6854
2017-10-12,-0.7619
2017-10-13,4.9904
2017-10-16,-3.8391
2017-10-17,-1.5209000000000001
2017-10-18,2.1236
2017-10-19,-9.2628
2017-10-20,-5.2083
2017-10-23,0.0
2017-10-24,-8.1319
2017-10-25,-5.0239
2017-10-26,7.0529
2017-10-27,9.1765
2017-10-30,-2.1552
2017-10-31,17.1806
2017-11-01,-6.9549
2017-11-02,6.6667
2017-11-03,-3.4091
2017-11-06,-1.9607999999999999
2017-11-07,-4.6
2017-11-08,-2.3061
2017-11-09,5.7940000000000005
2017-11-10,-6.0852
