ticker,FATE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-01,10.3333
2013-10-02,4.9849
2013-10-03,-0.7194
2013-10-04,3.6231999999999998
2013-10-07,18.8811
2013-10-08,-6.5882
2013-10-09,-15.6171
2013-10-10,3.8806000000000003
2013-10-11,1.2931
2013-10-14,-0.6099
2013-10-15,2.6117
2013-10-16,-2.6426
2013-10-17,0.4286
2013-10-18,-0.4267
2013-10-21,0.0
2013-10-22,-4.0
2013-10-23,1.9344999999999999
2013-10-24,1.1679
2013-10-25,-0.8658
2013-10-28,-6.1135
2013-10-29,-2.3256
2013-10-30,-0.7937
2013-10-31,-4.0
2013-11-01,0.1667
2013-11-04,4.6589
2013-11-05,-2.8617
2013-11-06,-2.6513999999999998
2013-11-07,-15.9381
2013-11-08,-7.8
2013-11-11,0.8677
2013-11-12,2.5806
2013-11-13,8.1761
2013-11-14,-5.814
2013-11-15,4.9383
2013-11-18,-2.9412000000000003
2013-11-19,1.0101
2013-11-20,-0.8
2013-11-21,0.8065
2013-11-22,1.2
2013-11-25,-0.1976
2013-11-26,3.9604
2013-11-27,4.0
2013-11-29,2.5641
2013-12-02,0.7143
2013-12-03,5.3191
2013-12-04,1.8519
2013-12-05,1.4876
2013-12-06,3.0945
2013-12-09,0.158
2013-12-10,0.9464
2013-12-11,0.1563
2013-12-12,9.2044
2013-12-13,2.8571
2013-12-16,-2.7778
2013-12-17,-2.2857
2013-12-18,5.117
2013-12-19,0.0
2013-12-20,-5.146
2013-12-23,-3.9589
2013-12-24,4.2748
2013-12-26,2.6353999999999997
2013-12-27,-0.5706
2013-12-30,-5.165
2013-12-31,-4.9924
2014-01-02,1.2739
2014-01-03,7.2327
2014-01-06,-3.9589
2014-01-07,-2.7481
2014-01-08,7.3783
2014-01-09,-3.2164
2014-01-10,-0.1511
2014-01-13,-2.7231
2014-01-14,1.8662999999999998
2014-01-15,1.2977
2014-01-16,4.7476
2014-01-17,3.0234
2014-01-21,-3.9123
2014-01-22,2.0349
2014-01-23,-3.1339
2014-01-24,1.7647
2014-01-27,-9.5376
2014-01-28,-0.1597
2014-01-29,-2.24
2014-01-30,2.455
2014-01-31,-0.9585
2014-02-03,0.8044
2014-02-04,-1.278
2014-02-05,-0.8104
2014-02-06,-0.817
2014-02-07,2.1417
2014-02-10,-3.2258
2014-02-11,-0.25
2014-02-12,-1.7544
2014-02-13,0.6803
2014-02-14,1.5203
2014-02-18,-0.1664
2014-02-19,1.0
2014-02-20,-0.9901
