ticker,ACIA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-05-13,34.5652
2016-05-16,-9.1438
2016-05-17,1.1735
2016-05-18,-1.5817
2016-05-19,1.3571
2016-05-20,3.5236
2016-05-23,11.3002
2016-05-24,8.104
2016-05-25,5.6294
2016-05-26,-1.0177
2016-05-27,2.8139
2016-05-31,3.3684
2016-06-01,0.7383
2016-06-02,-5.1301
2016-06-03,-6.1268
2016-06-06,1.8729
2016-06-07,7.2981
2016-06-08,-2.3884
2016-06-09,0.3989
2016-06-10,1.351
2016-06-13,-5.2274
2016-06-14,6.3155
2016-06-15,8.5603
2016-06-16,5.902
2016-06-17,-0.9702
2016-06-20,-6.1517
2016-06-21,-5.5596
2016-06-22,2.0051
2016-06-23,-1.5877
2016-06-24,-4.5839
2016-06-27,-7.5416
2016-06-28,10.8563
2016-06-29,-0.8641
2016-06-30,5.4939
2016-07-01,2.8543
2016-07-05,0.6816
2016-07-06,3.6992000000000003
2016-07-07,3.031
2016-07-08,-0.5431
2016-07-11,11.1945
2016-07-12,5.0952
2016-07-13,-3.3879
2016-07-14,5.663
2016-07-15,4.4822
2016-07-18,4.2169
2016-07-19,2.8727
2016-07-20,6.2489
2016-07-21,-7.2917
2016-07-22,2.2645
2016-07-25,7.1332
2016-07-26,-5.8850999999999996
2016-07-27,8.8013
2016-07-28,-2.2188
2016-07-29,2.474
2016-08-01,-1.63
2016-08-02,-4.9711
2016-08-03,0.3455
2016-08-04,5.7213
2016-08-05,-0.7598
2016-08-08,0.6406
2016-08-09,4.0677
2016-08-10,3.2374
2016-08-11,-2.1676
2016-08-12,41.3146
2016-08-15,6.9614
2016-08-16,-0.1564
2016-08-17,12.8413
2016-08-18,2.2292
2016-08-19,-2.6132999999999997
2016-08-22,2.4482
2016-08-23,-5.6978
2016-08-24,-8.062
2016-08-25,-0.7847
2016-08-26,6.6337
2016-08-29,5.229
2016-08-30,0.9427
2016-08-31,-2.5487
2016-09-01,0.403
2016-09-02,0.9277
2016-09-06,9.1038
2016-09-07,-2.6248
2016-09-08,-1.9218
2016-09-09,-9.7379
2016-09-12,5.7137
2016-09-13,-5.5027
2016-09-14,-1.1665
2016-09-15,0.8567
2016-09-16,6.4741
2016-09-19,1.2764
2016-09-20,-4.3585
2016-09-21,8.4279
2016-09-22,-1.5191
2016-09-23,2.271
2016-09-26,-10.2397
2016-09-27,-2.0724
2016-09-28,-1.3632
2016-09-29,-0.4736
2016-09-30,0.2913
2016-10-03,-3.66
