ticker,BEAM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-02-06,10.2941
2020-02-07,9.9733
2020-02-10,7.1775
2020-02-11,9.0498
2020-02-12,14.5228
2020-02-13,5.7971
2020-02-14,-4.4521
2020-02-18,-0.3584
2020-02-19,1.3669
2020-02-20,-4.5067
2020-02-21,-3.0472
2020-02-24,-7.2442
2020-02-25,-6.4876
2020-02-26,8.0424
2020-02-27,-6.2168
2020-02-28,-1.9189
2020-03-02,2.3566
2020-03-03,2.1286
2020-03-04,3.8282
2020-03-05,-2.458
2020-03-06,-1.092
2020-03-09,-4.034
2020-03-10,-0.4425
2020-03-11,-5.5556
2020-03-12,-13.8824
2020-03-13,-5.0273
2020-03-16,-23.4177
2020-03-17,12.7724
2020-03-18,1.3324
2020-03-19,10.8481
2020-03-20,15.0652
2020-03-23,-7.1649
2020-03-24,6.3853
2020-03-25,2.2965
2020-03-26,-3.0612
2020-03-27,-5.0
2020-03-30,-0.277
2020-03-31,0.0
2020-04-01,-10.4444
2020-04-02,-5.335
2020-04-03,5.5701
2020-04-06,3.352
2020-04-07,-5.045
2020-04-08,5.6293
2020-04-09,-0.479
2020-04-13,-3.1288
2020-04-14,6.0248
2020-04-15,-6.8541
2020-04-16,1.6981000000000002
2020-04-17,-1.175
2020-04-20,3.6295
2020-04-21,-2.7778
2020-04-22,3.4783
2020-04-23,6.4826
2020-04-24,2.3112
2020-04-27,-8.9256
2020-04-28,-1.3914
2020-04-29,3.6196
2020-04-30,-5.5654
2020-05-01,-3.5737
2020-05-04,2.4707
2020-05-05,4.632
2020-05-06,-2.4864
2020-05-07,4.7264
2020-05-08,0.2969
2020-05-11,22.6169
2020-05-12,-3.6696999999999997
2020-05-13,7.2682
2020-05-14,-8.8318
2020-05-15,9.7386
2020-05-18,0.3737
2020-05-19,9.3997
2020-05-20,8.8048
2020-05-21,3.792
2020-05-22,-3.5028
2020-05-26,-5.0742
2020-05-27,1.1102
2020-05-28,1.7487
2020-05-29,2.1183
2020-06-01,2.4657999999999998
2020-06-02,7.1429
2020-06-03,0.2852
2020-06-04,-3.0217
2020-06-05,-5.6818
2020-06-08,7.8896
2020-06-09,0.072
2020-06-10,-3.7437
2020-06-11,-4.6372
2020-06-12,-2.1961
2020-06-15,7.6584
2020-06-16,0.5587
2020-06-17,-5.0
2020-06-18,3.7037
2020-06-19,2.6316
2020-06-22,4.9817
2020-06-23,-8.0251
2020-06-24,-0.569
2020-06-25,1.1446
2020-06-26,-5.8846
2020-06-29,10.0601
2020-06-30,1.9665
2020-07-01,1.8214000000000001
2020-07-02,1.2627
2020-07-06,1.9051
2020-07-07,-2.7532
2020-07-08,1.3981
2020-07-09,5.3775
2020-07-10,-12.5613
2020-07-13,-6.3599
2020-07-14,0.2397
2020-07-15,-2.6704
2020-07-16,-2.7846
2020-07-17,-0.337
2020-07-20,-1.9442
2020-07-21,-3.4052
2020-07-22,0.4909
2020-07-23,-2.7087
2020-07-24,-3.4231
2020-07-27,1.6541000000000001
2020-07-28,-3.2078
2020-07-29,-1.2488
2020-07-30,-0.9241
2020-07-31,-5.0565
