ticker,IMGN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.1364
2000-01-04,-5.1724
2000-01-05,-4.2424
2000-01-06,6.3291
2000-01-07,17.8571
2000-01-10,23.2323
2000-01-11,0.0
2000-01-12,-8.6066
2000-01-13,0.4484
2000-01-14,8.482099999999999
2000-01-18,-4.5267
2000-01-19,-6.4655000000000005
2000-01-20,18.4332
2000-01-21,6.6148
2000-01-24,-0.7299
2000-01-25,3.6765
2000-01-26,12.0567
2000-01-27,-3.7975
2000-01-28,-8.5526
2000-01-31,-6.4748
2000-02-01,0.3846
2000-02-02,1.9157
2000-02-03,8.2707
2000-02-04,10.4167
2000-02-07,48.4277
2000-02-08,-11.8644
2000-02-09,4.8077
2000-02-10,12.844
2000-02-11,10.5691
2000-02-14,2.5735
2000-02-15,0.3584
2000-02-16,-6.4286
2000-02-17,11.4504
2000-02-18,0.6849
2000-02-22,-5.4422
2000-02-23,-8.6331
2000-02-24,-15.748
2000-02-25,-2.8037
2000-02-28,5.7692
2000-02-29,8.1818
2000-03-01,4.6218
2000-03-02,0.0
2000-03-03,-3.6145
2000-03-06,13.3333
2000-03-07,-5.5147
2000-03-08,-5.8366
2000-03-09,3.3058
2000-03-10,-3.6
2000-03-13,-7.0539
2000-03-14,-18.75
2000-03-15,7.1429
2000-03-16,-3.5897
2000-03-17,-4.7872
2000-03-20,-9.7765
2000-03-21,-13.9319
2000-03-22,22.3022
2000-03-23,10.5882
2000-03-24,-1.0638
2000-03-27,2.1505
2000-03-28,1.0526
2000-03-29,-10.4167
2000-03-30,-11.0465
2000-03-31,25.4902
2000-04-03,-0.5208
2000-04-04,-2.0942
2000-04-05,-2.1390000000000002
2000-04-06,8.7432
2000-04-07,12.5628
2000-04-10,-2.6786
2000-04-11,-7.7982
2000-04-12,-14.4279
2000-04-13,-6.9767
2000-04-14,-10.0
2000-04-17,-5.5556
2000-04-18,12.5
2000-04-19,2.6144
2000-04-20,-5.7325
2000-04-24,-10.8108
2000-04-25,1.5152
2000-04-26,1.4925
2000-04-27,5.8824
2000-04-28,12.5
2000-05-01,3.7037
2000-05-02,2.3810000000000002
2000-05-03,-3.4884
2000-05-04,1.2048
2000-05-05,10.119
2000-05-08,3.7838000000000003
2000-05-09,-3.6458
2000-05-10,-7.027
2000-05-11,-4.0698
2000-05-12,-1.2121
2000-05-15,3.0675
2000-05-16,3.5714
2000-05-17,-2.8736
2000-05-18,1.7751000000000001
2000-05-19,-1.1628
2000-05-22,-7.6471
