ticker,HCGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-01-17,150.0
2012-01-18,0.0
2015-09-30,-98.25
2015-10-06,0.0
2015-11-24,0.0
2016-04-12,0.0
2017-12-14,14.2857
2018-07-30,5.0
2018-12-03,12.5
2018-12-04,0.0
2018-12-06,0.5556
2019-01-08,-0.5525
2019-02-05,0.0
2019-08-09,0.0
2019-09-24,-5.5556
2019-09-25,4.7059
2019-10-02,-4.4944
2019-10-09,0.1176
2019-10-10,-0.1175
2019-10-11,0.0
2019-12-19,3.5294
2019-12-31,2.2727
2020-06-02,-1.2222
2020-06-03,-10.0112
2020-06-04,10.625
2020-06-08,-9.6045
2020-06-10,9.25
2020-06-15,-8.4668
2020-06-30,2.5
2020-07-01,-2.439
2020-07-09,-0.625
2020-07-10,-11.9497
2020-07-13,4.2857
2020-07-20,-6.8493
2020-07-27,13.2353
