ticker,CRZY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,0.0
2000-01-05,-1.1364
2000-01-10,0.0
2000-01-12,0.0
2000-01-13,-1.1494
2000-01-14,1.1628
2000-01-18,-1.1494
2000-01-19,0.0
2000-01-20,1.1628
2000-01-21,0.0
2000-01-24,-1.1494
2000-01-25,0.0
2000-01-26,2.3256
2000-01-27,-6.8182
2000-01-28,-3.6585
2000-01-31,0.0
2000-02-01,1.2658
2000-02-03,5.0
2000-02-08,-3.5714
2000-02-09,0.6173
2000-02-10,-0.6135
2000-02-11,-1.2346
2000-02-14,1.25
2000-02-15,-1.2346
2000-02-16,0.0
2000-02-17,2.5
2000-02-18,-1.2195
2000-02-22,1.2346
2000-02-23,0.0
2000-02-24,0.0
2000-02-25,-0.6098
2000-02-28,-1.8405
2000-02-29,0.0
2000-03-01,0.0
2000-03-02,1.25
2000-03-03,3.0864
2000-03-06,-2.9939999999999998
2000-03-07,0.0
2000-03-08,1.2346
2000-03-09,0.0
2000-03-10,0.0
2000-03-13,0.0
2000-03-15,0.6098
2000-03-16,0.0
2000-03-20,-0.6061
2000-03-22,-1.2195
2000-03-24,0.0
2000-03-27,0.0
2000-03-28,0.0
2000-03-29,1.8519
2000-03-30,-0.6061
2000-04-04,1.1846
2000-04-06,0.0
2000-04-07,0.0
2000-04-10,0.0
2000-04-11,-4.878
2000-04-12,1.2821
2000-04-14,-1.2658
2000-04-17,3.8462
2000-04-18,-3.7037
2000-04-19,5.1282
2000-04-20,0.0
2000-04-24,-7.3171
2000-04-25,1.3158
2000-04-26,3.8961
2000-04-27,-5.0
2000-04-28,5.2632
2000-05-01,-1.875
2000-05-02,1.2739
2000-05-04,-4.4025
2000-05-05,0.0
2000-05-08,-0.6579
2000-05-09,-0.6623
2000-05-11,5.3333
2000-05-12,3.7975
2000-05-15,0.0
2000-05-16,-1.2195
2000-05-17,-1.2346
2000-05-19,1.25
2000-05-24,-4.9383
2000-05-26,1.2987
2000-05-31,0.0
2000-06-02,0.0
2000-06-07,0.0
2000-06-13,0.0
2000-06-15,0.0
2000-06-16,2.5641
2000-06-19,2.5
2000-06-20,4.2683
2000-06-21,-4.0936
2000-06-22,7.3171
2000-06-23,0.0
2000-06-26,0.0
2000-06-29,-0.0455
2000-06-30,1.1494
2000-07-03,1.1364
2000-07-05,0.5618
2000-07-06,-1.6760000000000002
2000-07-07,0.0
2000-07-10,-6.25
2000-07-11,3.0303
2000-07-13,0.0
