ticker,LUMO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-11-11,1.1429
2011-11-14,-0.7062
2011-11-15,-0.1422
2011-11-16,-0.2849
2011-11-17,0.0
2011-11-18,1.4285999999999999
2011-11-21,-1.2676
2011-11-22,-0.1427
2011-11-23,0.0
2011-11-25,0.1429
2011-11-28,0.1427
2011-11-29,-0.2849
2011-11-30,0.0
2011-12-01,0.5714
2011-12-02,0.2841
2011-12-05,-0.7082
2011-12-06,-0.1427
2011-12-07,0.0
2011-12-08,0.0
2011-12-09,0.0
2011-12-12,-0.7143
2011-12-13,-0.5755
2011-12-14,-7.8148
2011-12-15,0.314
2011-12-16,0.7825
2011-12-19,1.8634
2011-12-20,6.7073
2011-12-21,0.0
2011-12-22,2.0
2011-12-23,0.4202
2011-12-27,0.1395
2011-12-28,-1.3928
2011-12-29,0.0
2011-12-30,-0.565
2012-01-03,1.1364
2012-01-04,0.5618
2012-01-05,-0.838
2012-01-06,0.2817
2012-01-09,0.5618
2012-01-10,-1.1173
2012-01-11,-2.1186
2012-01-12,-0.7215
2012-01-13,-5.814
2012-01-17,6.4815
2012-01-18,0.7246
2012-01-19,-1.1511
2012-01-20,2.9112
2012-01-23,0.5658
2012-01-24,-0.4219
2012-01-25,0.8475
2012-01-26,-0.8403
2012-01-27,1.4123999999999999
2012-01-30,-2.9248
2012-01-31,-0.4304
2012-02-01,-0.5764
2012-02-02,0.0
2012-02-03,1.0145
2012-02-06,2.8693999999999997
2012-02-07,6.5551
2012-02-08,0.6545
2012-02-09,-4.9415
2012-02-10,-0.8208
2012-02-13,2.3448
2012-02-14,-0.1348
2012-02-15,-1.0796000000000001
2012-02-16,3.9563
2012-02-17,-0.9186
2012-02-21,7.947
2012-02-22,0.4908
2012-02-23,3.6630000000000003
2012-02-24,-1.0601
2012-02-27,1.0714
2012-02-28,-2.0024
2012-02-29,1.6827
2012-03-01,1.8913
2012-03-02,0.6961
2012-03-05,4.3779
2012-03-06,-8.1678
2012-03-07,11.1779
2012-03-08,-0.8649
2012-03-09,-0.7634
2012-03-12,5.7143
2012-03-13,0.7277
2012-03-14,-0.6192
2012-03-15,-0.3115
2012-03-16,-1.3542
2012-03-19,2.4287
2012-03-20,-1.9588
2012-03-21,-1.9979
2012-03-22,9.1202
2012-03-23,-3.1465
2012-03-26,2.2335
2012-03-27,-6.1569
2012-03-28,-4.4444
2012-03-29,1.1074
2012-03-30,0.2191
2012-04-02,3.9344
2012-04-03,-5.3628
2012-04-04,5.4444
