ticker,KALO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-29,50.0
2007-12-12,0.0
2007-12-18,33.3333
2007-12-20,50.0
2007-12-21,0.0
2007-12-28,8.3333
2008-02-07,16.9231
2008-02-08,31.5789
2008-02-21,-2.0
2008-03-20,-84.6939
2008-03-24,-20.0
2008-03-25,525.0
2008-03-26,0.0
2008-03-28,-16.0
2008-03-31,-4.7619
2008-04-03,0.0
2008-04-04,10.0
2008-04-09,-9.0909
2008-04-29,-65.0
2008-04-30,0.0
2008-05-02,0.0
2008-05-22,71.4286
2008-09-04,-58.3333
2008-09-05,120.0
2008-10-27,-54.5455
2008-10-28,-4.0
2008-11-19,4.1667
2009-01-15,-20.0
2009-07-09,155.0
2009-07-10,154.902
2009-07-16,7.6923
2009-07-22,-27.8571
2009-07-28,48.5149
2009-08-20,-16.6667
2009-11-23,-23.2
2009-12-10,-84.375
2010-04-01,900.0
2010-04-05,100.0
2010-04-07,8.3333
2010-04-08,23.0769
2010-04-09,6.25
2010-04-15,0.0
2010-04-20,0.0
2010-04-21,-0.2353
2010-04-29,-0.9434
2010-05-04,42.8571
2010-05-10,-25.0
2010-05-13,-86.4444
2010-05-14,63.9344
2010-05-21,1.0
2010-05-26,295.0495
2010-05-28,-24.9373
2010-06-01,-16.5275
2010-06-03,0.0
2010-06-07,-1.2
2010-06-08,-8.9069
2010-06-09,11.1111
2010-06-14,-60.0
2010-06-18,-49.0
2010-06-22,0.0
2010-06-23,386.2745
2010-06-28,-89.9194
2010-09-13,-60.0
2010-09-17,100.0
2010-10-05,-75.0
2010-10-06,0.0
2010-10-12,0.0
2010-10-13,0.0
2010-10-14,0.0
2010-10-15,0.0
2010-10-18,920.0
2010-11-24,-90.1961
2010-11-29,0.0
2010-11-30,120.0
2010-12-01,-9.0909
2010-12-03,0.0
2010-12-07,-10.0
2010-12-08,11.1111
2010-12-10,0.0
2011-01-10,-1.0
2011-03-01,-49.4949
2011-03-28,340.0
2011-04-14,-31.8182
2011-04-15,0.0
2011-05-02,-33.3333
2011-09-02,-40.0
2011-09-07,-16.6667
2011-10-06,100.0
2011-10-07,0.0
2011-10-10,0.0
2011-10-17,-80.0
2011-10-27,0.0
2011-10-31,100.0
2011-11-01,50.0
2011-11-09,-66.6667
2011-11-11,50.0
2011-11-16,33.3333
2011-11-18,25.0
2011-11-28,0.0
2011-11-29,-10.0
2011-12-05,11.1111
2011-12-06,60.0
2011-12-07,0.0
2011-12-08,18.75
2011-12-09,-5.2632
