ticker,PFLT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-08,-10.6667
2011-04-11,-0.2985
2011-04-12,-1.3473
2011-04-13,-0.1517
2011-04-14,1.4438
2011-04-15,-0.9738
2011-04-18,-0.9077
2011-04-19,-0.7634
2011-04-20,-0.9231
2011-04-21,0.1553
2011-04-25,-0.7752
2011-04-26,-0.1563
2011-04-27,0.5477
2011-04-28,0.3891
2011-04-29,0.7752
2011-05-02,-0.0769
2011-05-03,-0.7698
2011-05-04,3.1032
2011-05-05,0.8277
2011-05-06,2.2388
2011-05-09,-3.4964
2011-05-10,1.0514000000000001
2011-05-11,-0.0749
2011-05-12,0.0
2011-05-13,-1.4981
2011-05-16,-0.3042
2011-05-17,0.6865
2011-05-18,-1.7424
2011-05-19,0.2313
2011-05-20,0.0
2011-05-23,-0.0769
2011-05-24,-0.5389
2011-05-25,1.161
2011-05-26,0.6121
2011-05-27,-0.5323
2011-05-31,1.9113
2011-06-01,-1.3503
2011-06-02,-2.0532
2011-06-03,-0.6211
2011-06-06,0.5469
2011-06-07,0.6993
2011-06-08,-1.466
2011-06-09,0.5482
2011-06-10,-0.3115
2011-06-13,0.0
2011-06-14,-0.3906
2011-06-15,-0.549
2011-06-16,-1.183
2011-06-17,-0.0798
2011-06-20,-0.639
2011-06-21,-0.1608
2011-06-22,-0.6441
2011-06-23,-0.1627
2011-06-24,1.5485
2011-06-27,0.321
2011-06-28,-0.8
2011-06-29,2.6612999999999998
2011-06-30,-0.3142
2011-07-01,0.0
2011-07-05,-1.8125
2011-07-06,1.2841
2011-07-07,1.0301
2011-07-08,0.0784
2011-07-11,-0.8621
2011-07-12,1.581
2011-07-13,-2.1012
2011-07-14,-0.159
2011-07-15,1.035
2011-07-18,-1.3396
2011-07-19,-0.1597
2011-07-20,0.248
2011-07-21,-0.0882
2011-07-22,-0.8828
2011-07-25,-1.3765
2011-07-26,-1.3916
2011-07-27,-0.5037
2011-07-28,-0.4184
2011-07-29,0.0
2011-08-01,-0.8403
2011-08-02,0.8475
2011-08-03,0.2521
2011-08-04,-1.5926
2011-08-05,-0.7666
2011-08-08,-3.4764
2011-08-09,-2.1787
2011-08-10,-3.5455
2011-08-11,0.8483
2011-08-12,-0.0935
2011-08-15,5.6127
2011-08-16,0.9743
2011-08-17,3.0088
2011-08-18,-3.2615
2011-08-19,0.3543
2011-08-22,-1.5545
2011-08-23,2.4756
2011-08-24,1.7498
2011-08-25,0.0
2011-08-26,2.2356
2011-08-29,0.5887
