ticker,ZIOP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-08-23,-11.1111
2005-11-09,-75.0
2005-11-16,12.5
2005-11-17,0.0
2005-11-29,11.1111
2005-11-30,-8.0
2005-12-12,-10.8696
2005-12-13,-1.2195
2005-12-15,-1.2346
2005-12-16,-6.25
2005-12-19,-6.6667
2005-12-22,2.8571
2005-12-28,-9.7222
2006-01-03,10.7692
2006-01-04,11.1111
2006-01-05,0.0
2006-01-06,6.25
2006-01-09,0.0
2006-01-10,0.0
2006-01-17,2.3529
2006-01-18,0.0
2006-01-19,0.0
2006-01-20,-8.046
2006-01-23,0.0
2006-01-24,7.5
2006-01-25,-1.1628
2006-01-26,-1.1764999999999999
2006-01-27,-0.4762
2006-01-30,0.0
2006-01-31,-0.7177
2006-02-01,2.4096
2006-02-02,8.8235
2006-02-03,-2.7027
2006-02-06,0.0
2006-02-07,2.2222
2006-02-09,-1.087
2006-02-10,2.1978
2006-02-13,0.8602
2006-02-15,-1.919
2006-02-16,0.0
2006-02-17,2.1739
2006-02-21,0.0
2006-02-22,3.1915
2006-02-23,-1.0309
2006-02-24,1.0417
2006-02-27,-2.0619
2006-02-28,-1.0526
2006-03-01,1.0638
2006-03-02,1.0526
2006-03-06,1.0417
2006-03-07,1.0309
2006-03-08,4.0816
2006-03-09,-1.9607999999999999
2006-03-14,0.0
2006-03-15,1.0
2006-03-16,-2.9703
2006-03-17,-1.0204
2006-03-20,-2.0619
2006-03-21,0.0
2006-03-22,0.0
2006-03-23,2.1053
2006-03-24,3.0928
2006-03-27,-3.0
2006-03-28,1.0309
2006-03-29,2.0408
2006-03-30,-4.0
2006-03-31,0.0
2006-04-03,-1.0417
2006-04-04,1.0526
2006-04-05,2.0833
2006-04-06,6.1224
2006-04-10,-1.9231
2006-04-12,-5.8824
2006-04-20,5.2083
2006-04-21,0.9901
2006-04-24,-1.5686
2006-04-25,-0.1992
2006-04-26,-0.1996
2006-04-27,-4.0
2006-04-28,4.1667
2006-05-01,0.0
2006-05-02,4.0
2006-05-03,0.9615
2006-05-04,2.8571
2006-05-05,10.1852
2006-05-08,-1.6806999999999999
2006-05-09,1.7094
2006-05-10,-0.8403
2006-05-11,1.6949
2006-05-12,-3.3333
2006-05-15,0.0
2006-05-16,-6.8966
2006-05-17,-1.4815
2006-05-18,1.5038
2006-05-19,0.0
2006-05-22,0.0
2006-05-23,0.0
2006-05-24,0.0
2006-05-25,0.0
2006-05-26,1.8519
2006-05-30,-1.8182
