ticker,ASMB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-12-17,5.0
2010-12-20,0.0
2010-12-21,-0.7937
2010-12-22,-3.2
2010-12-23,4.1322
2010-12-27,-0.1587
2010-12-28,0.6359
2010-12-29,0.316
2010-12-30,-0.4724
2010-12-31,4.7468
2011-01-03,2.719
2011-01-04,-3.9706
2011-01-05,1.072
2011-01-06,6.0606
2011-01-07,-1.7143000000000002
2011-01-10,-6.25
2011-01-11,0.7752
2011-01-12,-0.3077
2011-01-13,4.9383
2011-01-14,-5.8824
2011-01-18,0.7813
2011-01-19,0.7752
2011-01-20,-4.0
2011-01-21,-3.8462
2011-01-24,7.0
2011-01-25,0.1558
2011-01-26,-0.311
2011-01-27,0.468
2011-01-28,-2.0186
2011-01-31,-3.0111
2011-02-01,0.3431
2011-02-02,-2.296
2011-02-03,3.3354
2011-02-04,1.7721
2011-02-07,1.7433
2011-02-08,-3.271
2011-02-09,-0.6441
2011-02-10,2.4311
2011-02-11,2.057
2011-02-14,-1.7054
2011-02-15,3.3123
2011-02-16,0.0
2011-02-17,3.2061
2011-02-18,5.7692
2011-02-22,-1.3986
2011-02-23,2.695
2011-02-24,2.9006
2011-02-25,2.6846
2011-02-28,3.268
2011-03-01,20.2532
2011-03-02,-1.0539
2011-03-03,-2.1264
2011-03-04,2.7174
2011-03-07,-5.9153
2011-03-08,4.3751999999999995
2011-03-09,4.5259
2011-03-10,10.299
2011-03-11,-1.8599999999999999
2011-03-14,2.8571
2011-03-15,1.7593
2011-03-16,-2.5478
2011-03-17,-0.0934
2011-03-18,-2.3364
2011-03-21,-6.7943
2011-03-22,2.7721
2011-03-23,4.8951
2011-03-24,3.1619
2011-03-25,-2.6034
2011-03-28,-1.8009
2011-03-29,0.5792
2011-03-30,-0.8625
2011-03-31,14.713
2011-04-01,3.8819
2011-04-04,13.7287
2011-04-05,0.1429
2011-04-06,-5.5635
2011-04-07,3.1647
2011-04-08,-3.0676
2011-04-11,-5.0604
2011-04-12,-9.2283
2011-04-13,9.816
2011-04-14,2.9529
2011-04-15,12.4041
2011-04-18,1.5164
2011-04-19,1.9022000000000001
2011-04-20,0.1333
2011-04-21,2.8628
2011-04-25,2.0712
2011-04-26,7.7996
2011-04-27,-0.5882
2011-04-28,-0.2959
2011-04-29,1.7804
2011-05-02,-0.8746
2011-05-03,12.3529
2011-05-04,1.466
2011-05-05,3.096
2011-05-06,0.9009
2011-05-09,0.4464
2011-05-10,-2.716
2011-05-11,-5.5838
