ticker,ASGN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.9289
2000-01-04,-1.7241
2000-01-05,1.7544
2000-01-06,-0.431
2000-01-07,0.4329
2000-01-10,1.0776
2000-01-11,-2.3454
2000-01-12,-3.0568
2000-01-13,-0.9009
2000-01-14,6.3636
2000-01-18,2.1368
2000-01-19,-1.6736
2000-01-20,-2.766
2000-01-21,0.2188
2000-01-24,-3.9301
2000-01-25,2.2727
2000-01-26,-0.4444
2000-01-27,2.6786
2000-01-28,2.1739
2000-01-31,6.383
2000-02-01,-4.8
2000-02-02,1.2605
2000-02-03,5.8091
2000-02-04,1.3725
2000-02-07,-1.1605
2000-02-08,-11.546
2000-02-09,18.5841
2000-02-10,0.0
2000-02-11,1.1194
2000-02-14,3.321
2000-02-15,1.4285999999999999
2000-02-16,-1.4085
2000-02-17,2.8571
2000-02-18,-2.0833
2000-02-22,-0.7092
2000-02-23,-2.1429
2000-02-24,-1.2774
2000-02-25,0.9242
2000-02-28,5.4945
2000-02-29,3.8194
2000-03-01,2.6756
2000-03-02,0.0
2000-03-03,2.2801
2000-03-06,-3.5032
2000-03-07,0.9901
2000-03-08,4.902
2000-03-09,4.9844
2000-03-10,2.2255
2000-03-13,0.8708
2000-03-14,2.1583
2000-03-15,1.1268
2000-03-16,-5.0139
2000-03-17,-4.6921
2000-03-20,3.6923
2000-03-21,1.9287999999999998
2000-03-22,2.4745
2000-03-23,-0.9943
2000-03-24,-1.5782
2000-03-27,-1.4577
2000-03-28,0.8876
2000-03-29,-0.2933
2000-03-30,3.9706
2000-03-31,1.8388
2000-04-03,1.5278
2000-04-04,9.4391
2000-04-05,-4.5
2000-04-06,2.0942
2000-04-07,-0.7692
2000-04-10,-2.3256
2000-04-11,1.3228
2000-04-12,4.4386
2000-04-13,-8.75
2000-04-14,-2.4657999999999998
2000-04-17,1.1236
2000-04-18,7.2222
2000-04-19,3.6269
2000-04-20,1.0
2000-04-24,18.3168
2000-04-25,-3.7657
2000-04-26,0.4348
2000-04-27,11.2554
2000-04-28,-2.3346
2000-05-01,-0.5976
2000-05-02,-3.006
2000-05-03,-6.1983
2000-05-04,3.9648
2000-05-05,-3.3898
2000-05-08,0.4386
2000-05-09,5.2402
2000-05-10,1.2448
2000-05-11,-2.459
2000-05-12,-2.7311
2000-05-15,-2.3758
2000-05-16,-0.885
2000-05-17,1.5625
2000-05-18,0.8791
2000-05-19,1.0893
2000-05-22,0.0
2000-05-23,-1.0776
