ticker,TX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-02-01,16.85
2006-02-02,-0.3423
2006-02-03,1.9750999999999999
2006-02-06,0.5053
2006-02-07,-4.7759
2006-02-08,-2.3757
2006-02-09,-0.4056
2006-02-10,1.5836999999999999
2006-02-13,-2.9398999999999997
2006-02-14,-0.4589
2006-02-15,0.7377
2006-02-16,2.9748
2006-02-17,1.8667
2006-02-21,-0.3054
2006-02-22,1.2254
2006-02-23,1.0808
2006-02-24,1.0693
2006-02-27,-1.058
2006-02-28,0.7271
2006-03-01,1.2739
2006-03-02,-0.3354
2006-03-03,0.7573
2006-03-06,0.4593
2006-03-07,-4.6135
2006-03-08,0.3922
2006-03-09,1.3889
2006-03-10,3.6387
2006-03-13,3.1391999999999998
2006-03-14,-0.1201
2006-03-15,2.1652
2006-03-16,5.573
2006-03-17,0.1115
2006-03-20,-0.8541
2006-03-21,-2.3970000000000002
2006-03-22,-1.7652
2006-03-23,1.2109
2006-03-24,2.6631
2006-03-27,0.188
2006-03-28,1.1257
2006-03-29,5.603
2006-03-30,-1.6162999999999998
2006-03-31,1.25
2006-04-03,-1.5873
2006-04-04,0.4301
2006-04-05,-0.0714
2006-04-06,1.75
2006-04-07,-2.1064
2006-04-10,0.5024
2006-04-11,-0.1784
2006-04-12,0.0715
2006-04-13,0.1429
2006-04-17,-0.1427
2006-04-18,-0.1071
2006-04-19,-1.3228
2006-04-20,-3.0797
2006-04-21,1.1215
2006-04-24,3.3641
2006-04-25,-0.0358
2006-04-26,0.0
2006-04-27,-3.7567
2006-04-28,-0.6691
2006-05-01,0.8234
2006-05-02,-1.3734
2006-05-03,0.1129
2006-05-04,-3.1579
2006-05-05,2.6786
2006-05-08,-1.5501
2006-05-09,-0.7296
2006-05-10,-0.3868
2006-05-11,-1.0097
2006-05-12,-2.7069
2006-05-15,-5.6452
2006-05-16,-1.5812
2006-05-17,-6.2093
2006-05-18,2.8241
2006-05-19,3.602
2006-05-22,-6.3451
2006-05-23,6.3109
2006-05-24,-2.1388
2006-05-25,5.0401
2006-05-26,1.6561
2006-05-30,-3.0911
2006-05-31,0.8621
2006-06-01,3.2479
2006-06-02,0.1656
2006-06-05,-0.8678
2006-06-06,-3.7099
2006-06-07,-1.5152
2006-06-08,-1.978
2006-06-09,-3.0942
2006-06-12,-2.4988
2006-06-13,-4.3664
2006-06-14,1.3896
2006-06-15,9.0064
2006-06-16,-0.7185
2006-06-19,-2.6231999999999998
2006-06-20,0.0929
