ticker,PLAB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.9651
2000-01-04,-3.118
2000-01-05,0.4598
2000-01-06,-2.5172
2000-01-07,0.7042
2000-01-10,6.2937
2000-01-11,-2.193
2000-01-12,-8.520199999999999
2000-01-13,7.3529
2000-01-14,1.3699
2000-01-18,6.0811
2000-01-19,11.8896
2000-01-20,4.3643
2000-01-21,-1.5455
2000-01-24,-4.5245
2000-01-25,2.5145
2000-01-26,-2.8302
2000-01-27,1.165
2000-01-28,-7.1017
2000-01-31,-1.0331
2000-02-01,3.2359
2000-02-02,0.5056
2000-02-03,4.0241
2000-02-04,0.0
2000-02-07,-2.9013999999999998
2000-02-08,4.7809
2000-02-09,2.0913
2000-02-10,-1.3035
2000-02-11,-0.3774
2000-02-14,1.1364
2000-02-15,-0.5618
2000-02-16,16.5725
2000-02-17,7.2698
2000-02-18,-9.6386
2000-02-22,3.6667
2000-02-23,-0.9646
2000-02-24,3.8961
2000-02-25,-0.625
2000-02-28,-1.7296
2000-02-29,8.96
2000-03-01,-1.7621
2000-03-02,1.6442
2000-03-03,2.9412000000000003
2000-03-06,3.1429
2000-03-07,-3.3241
2000-03-08,-4.298
2000-03-09,4.491
2000-03-10,-1.4327
2000-03-13,-0.5814
2000-03-14,-2.924
2000-03-15,-3.6145
2000-03-16,-1.875
2000-03-17,-0.9554
2000-03-20,-4.6624
2000-03-21,3.8786
2000-03-22,6.1688
2000-03-23,-2.1407
2000-03-24,0.1563
2000-03-27,-2.6521
2000-03-28,-1.2821
2000-03-29,-5.276
2000-03-30,-7.455
2000-03-31,4.6296
2000-04-03,-15.0442
2000-04-04,3.9583
2000-04-05,10.2204
2000-04-06,4.5455
2000-04-07,3.1304
2000-04-10,-6.0708
2000-04-11,-2.3339
2000-04-12,-27.5735
2000-04-13,9.6447
2000-04-14,0.0
2000-04-17,14.8148
2000-04-18,2.0161
2000-04-19,3.9526
2000-04-20,-0.7605
2000-04-24,-7.6628
2000-04-25,3.7344
2000-04-26,0.6
2000-04-27,4.175
2000-04-28,1.7176
2000-05-01,-1.6886
2000-05-02,-2.2901
2000-05-03,-5.0781
2000-05-04,1.6461000000000001
2000-05-05,-0.2024
2000-05-08,-2.8398
2000-05-09,-5.2192
2000-05-10,-8.37
2000-05-11,5.2885
2000-05-12,-1.8265
2000-05-15,-2.3256
2000-05-16,7.619
2000-05-17,-1.7699
2000-05-18,0.4505
2000-05-19,-14.574
2000-05-22,1.0499
2000-05-23,-7.5325
