ticker,TDG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-03-15,14.7619
2006-03-16,0.7054
2006-03-17,3.049
2006-03-20,-0.4398
2006-03-21,-2.8112
2006-03-22,-0.1653
2006-03-23,-0.2483
2006-03-24,1.6598000000000002
2006-03-27,1.0204
2006-03-28,-0.2015
2006-03-29,0.8092
2006-03-30,2.2088
2006-03-31,1.1788
2006-04-03,-3.301
2006-04-04,-0.4016
2006-04-05,-0.4839
2006-04-06,-1.7423
2006-04-07,-0.5773
2006-04-10,0.8295
2006-04-11,-0.8638
2006-04-12,0.0
2006-04-13,1.1618
2006-04-17,0.9024
2006-04-18,-1.4228
2006-04-19,2.0619
2006-04-20,3.4343
2006-04-21,-0.5859
2006-04-24,0.2358
2006-04-25,1.1368
2006-04-26,-0.1938
2006-04-27,-1.3981
2006-04-28,-2.5994
2006-05-01,1.6579000000000002
2006-05-02,-1.5513
2006-05-03,-0.5253
2006-05-04,-0.1625
2006-05-05,-0.1221
2006-05-08,1.2627
2006-05-09,0.2414
2006-05-10,0.2809
2006-05-11,3.2413
2006-05-12,-1.2791000000000001
2006-05-15,-0.746
2006-05-16,1.0285
2006-05-17,-0.5482
2006-05-18,0.0394
2006-05-19,-0.0394
2006-05-22,0.4331
2006-05-23,-1.0192
2006-05-24,0.198
2006-05-25,-0.8696
2006-05-26,-0.319
2006-05-30,-0.08
2006-05-31,0.8407
2006-06-01,3.2156000000000002
2006-06-02,1.9231
2006-06-05,-0.0755
2006-06-06,-1.6239
2006-06-07,-0.691
2006-06-08,-0.1933
2006-06-09,-3.9504
2006-06-12,-3.1855
2006-06-13,-4.04
2006-06-14,-3.5156
2006-06-15,0.9897
2006-06-16,4.4543
2006-06-19,-2.3454
2006-06-20,3.3624
2006-06-21,3.2531
2006-06-22,0.7774
2006-06-23,3.0451
2006-06-26,2.6793
2006-06-27,0.1919
2006-06-28,-2.4512
2006-06-29,1.6097000000000001
2006-06-30,-7.4575
2006-07-03,-1.7537
2006-07-05,-0.2125
2006-07-06,-1.8739
2006-07-07,-0.1736
2006-07-10,0.6957
2006-07-11,1.3385
2006-07-12,0.3409
2006-07-13,-0.2972
2006-07-14,-1.5758
2006-07-17,0.3462
2006-07-18,1.9836
2006-07-19,5.6237
2006-07-20,0.1201
2006-07-21,0.04
2006-07-24,2.2382
2006-07-25,2.1892
2006-07-26,-3.9403
2006-07-27,-0.4381
2006-07-28,2.0
2006-07-31,0.3922
2006-08-01,-1.9531
2006-08-02,0.3586
