ticker,PRO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-28,16.8182
2007-06-29,1.9455
2007-07-02,-1.9083999999999999
2007-07-03,1.9455
2007-07-05,-1.9083999999999999
2007-07-06,0.3113
2007-07-09,-2.0946
2007-07-10,-0.0792
2007-07-11,1.1102
2007-07-12,0.0
2007-07-13,-1.9607999999999999
2007-07-16,0.0
2007-07-17,0.0
2007-07-18,1.6
2007-07-19,-0.1575
2007-07-20,-1.4196
2007-07-23,0.24
2007-07-24,0.6385
2007-07-25,-0.8723
2007-07-26,0.16
2007-07-27,-0.3435
2007-07-30,2.4285
2007-07-31,-2.1909
2007-08-01,-1.04
2007-08-02,1.1318
2007-08-03,-4.8761
2007-08-06,-8.4034
2007-08-07,9.3578
2007-08-08,6.7114
2007-08-09,-3.4591
2007-08-10,-1.4658
2007-08-13,-2.4793
2007-08-14,-2.5423999999999998
2007-08-15,0.4348
2007-08-16,-0.4329
2007-08-17,3.3826
2007-08-20,-0.4121
2007-08-21,1.3514
2007-08-22,3.5833
2007-08-23,4.9879
2007-08-24,3.6782
2007-08-27,-1.3304
2007-08-28,2.0974
2007-08-29,-1.9076
2007-08-30,0.2244
2007-08-31,-0.3731
2007-09-04,2.6966
2007-09-05,2.6988
2007-09-06,2.1307
2007-09-07,-3.0598
2007-09-10,-0.9326
2007-09-11,-2.2448
2007-09-12,-2.2222
2007-09-13,0.0758
2007-09-14,-0.4542
2007-09-17,-6.8441
2007-09-18,0.9796
2007-09-19,0.5659
2007-09-20,-1.4469
2007-09-21,3.5888999999999998
2007-09-24,-1.4961
2007-09-25,0.0
2007-09-26,2.3981
2007-09-27,-5.7767
2007-09-28,0.0
2007-10-01,1.8227
2007-10-02,5.2889
2007-10-03,2.6275
2007-10-04,1.3554
2007-10-05,2.3774
2007-10-08,3.1205
2007-10-09,-2.3223
2007-10-10,0.2882
2007-10-11,0.0718
2007-10-12,-3.0151
2007-10-15,4.0711
2007-10-16,-1.4936
2007-10-17,0.2888
2007-10-18,-2.3038
2007-10-19,-1.916
2007-10-22,-1.6529
2007-10-23,6.2643
2007-10-24,-3.5945
2007-10-25,-0.2983
2007-10-26,3.0666
2007-10-29,8.926
2007-10-30,7.2618
2007-10-31,11.677
2007-11-01,0.1112
2007-11-02,-0.8333
2007-11-05,-0.3361
2007-11-06,5.5649
2007-11-07,-4.8456
2007-11-08,2.3503
2007-11-09,0.4921
2007-11-12,-0.5985
2007-11-13,-1.0947
2007-11-14,0.7194
