ticker,HSII US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-9.4675
2000-01-04,-5.8824
2000-01-05,2.2569
2000-01-06,-2.2071
2000-01-07,0.8681
2000-01-10,8.0895
2000-01-11,-6.051
2000-01-12,0.339
2000-01-13,0.0
2000-01-14,-0.1689
2000-01-18,5.5838
2000-01-19,-2.2436
2000-01-20,2.2951
2000-01-21,0.641
2000-01-24,0.0
2000-01-25,0.9554
2000-01-26,2.8391
2000-01-27,2.1471999999999998
2000-01-28,-0.1502
2000-01-31,-1.3534
2000-02-01,-2.1341
2000-02-02,-8.411200000000001
2000-02-03,-10.2041
2000-02-04,4.3561
2000-02-07,7.441
2000-02-08,4.3919
2000-02-09,1.7799
2000-02-10,5.7234
2000-02-11,-0.7519
2000-02-14,-6.0606
2000-02-15,-1.2903
2000-02-16,3.9215999999999998
2000-02-17,3.1447
2000-02-18,-2.1341
2000-02-22,0.9346
2000-02-23,-1.3889
2000-02-24,-1.0955
2000-02-25,3.7975
2000-02-28,-1.2195
2000-02-29,1.2346
2000-03-01,-0.6098
2000-03-02,-0.9202
2000-03-03,1.548
2000-03-06,-0.9146
2000-03-07,-7.6923
2000-03-08,2.0
2000-03-09,0.0
2000-03-10,-2.6144
2000-03-13,-7.3826
2000-03-14,10.8696
2000-03-15,1.9607999999999999
2000-03-16,5.1282
2000-03-17,0.3049
2000-03-20,-0.304
2000-03-21,-8.5366
2000-03-22,1.3333
2000-03-23,-2.3026
2000-03-24,0.0
2000-03-27,1.6835
2000-03-28,5.9603
2000-03-29,2.5
2000-03-30,-1.0671
2000-03-31,-1.0786
2000-04-03,-2.1807
2000-04-04,-7.9618
2000-04-05,-7.9585
2000-04-06,2.2556
2000-04-07,5.8824
2000-04-10,0.3472
2000-04-11,10.3806
2000-04-12,0.1567
2000-04-13,-1.0955
2000-04-14,-7.1203
2000-04-17,-1.1925
2000-04-18,3.4483
2000-04-19,17.3333
2000-04-20,-7.8125
2000-04-24,-1.6949
2000-04-25,-4.7022
2000-04-26,-0.9868
2000-04-27,-3.6545
2000-04-28,-0.6897
2000-05-01,1.0417
2000-05-02,2.4055
2000-05-03,4.698
2000-05-04,7.0513
2000-05-05,-0.5988
2000-05-08,-1.2048
2000-05-09,2.2104
2000-05-10,-0.3729
2000-05-11,1.1976
2000-05-12,2.3669000000000002
2000-05-15,3.7572
2000-05-16,-5.2925
2000-05-17,-3.3824
2000-05-18,-2.5875
2000-05-19,0.0
2000-05-22,-5.1563
