ticker,STPJF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-20,-20.0
2000-03-21,385.0
2000-07-14,-27.8351
2002-02-20,-53.5714
2003-04-22,-53.8462
2003-12-23,1733.3333
2006-03-09,-34.2424
2006-03-10,0.0
2006-06-12,-23.502299999999998
2006-10-20,26.506
2007-02-01,176.1905
2007-02-02,-4.9655000000000005
2007-02-05,-2.0319
2007-02-06,-0.7407
2007-02-07,-5.9795
2007-02-09,4.5491
2007-02-12,-4.8588000000000005
2007-02-13,-1.0773
2007-02-20,-1.1848
2007-02-21,-0.6429
2007-02-22,-0.6265
2007-02-23,5.3328
2007-02-26,-3.0612
2007-02-27,-4.6559
2007-03-07,8.2272
2007-03-12,-0.1717
2007-03-13,-8.111
2007-03-14,-1.5505
2007-03-16,-3.7254
2007-03-19,5.9398
2007-03-20,0.5271
2007-03-21,-4.2373
2007-03-22,0.2821
2007-03-23,-1.7925
2007-03-26,-3.2349
2007-03-27,-3.1283
2007-03-28,12.6955
2007-03-29,-2.2648
2007-04-02,6.6144
2007-04-03,2.5305999999999997
2007-04-04,13.4156
2007-04-05,1.5795
2007-04-09,-5.7101
2007-04-12,7.1645
2007-04-13,15.645
2007-04-16,7.2817
2007-04-17,-0.8717
2007-04-20,-1.2894999999999999
2007-04-24,-5.2324
2007-04-26,0.1709
2007-05-01,0.8309
2007-05-02,4.7454
2007-05-03,2.8517
2007-05-04,20.8325
2007-05-07,3.1339
2007-05-08,-3.0168
2007-05-09,7.1338
2007-05-10,-2.1097
2007-05-11,-3.3621
2007-05-14,0.9673
2007-05-15,0.889
2007-05-16,-5.186
2007-05-18,0.0289
2007-05-22,4.8015
2007-05-23,7.8855
2007-05-24,8.2074
2007-05-25,1.9386999999999999
2007-05-29,5.1872
2007-05-30,5.4549
2007-05-31,3.794
2007-06-01,8.649000000000001
2007-06-04,-6.0721
2007-06-05,-1.5714000000000001
2007-06-06,-3.0929
2007-06-07,-3.5507999999999997
2007-06-08,0.5715
2007-06-13,0.7555
2007-06-14,-1.4321
2007-06-15,2.7816
2007-06-18,-1.0258
2007-06-20,3.1388
2007-06-21,6.8566
2007-06-22,10.7097
2007-06-25,-1.6937
2007-06-26,-9.6577
2007-06-27,1.2189
2007-06-28,3.1248
2007-06-29,3.8477
2007-07-03,3.1564
2007-07-05,9.1238
2007-07-06,0.9941
2007-07-09,-0.7982
2007-07-10,1.2912
2007-07-11,0.2229
2007-07-12,6.5962
2007-07-13,-0.072
2007-07-16,-3.2573
