ticker,FLXS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.6075
2000-01-04,0.0
2000-01-05,1.4851
2000-01-06,-0.4878
2000-01-07,1.9607999999999999
2000-01-10,-1.9231
2000-01-11,-1.9607999999999999
2000-01-12,1.0
2000-01-13,0.9901
2000-01-14,0.0
2000-01-18,1.9607999999999999
2000-01-19,0.9615
2000-01-20,2.8571
2000-01-21,-5.5556
2000-01-24,1.9607999999999999
2000-01-26,-1.9231
2000-01-27,0.0
2000-01-28,-1.9607999999999999
2000-01-31,-1.0
2000-02-01,5.0505
2000-02-02,-4.8077
2000-02-03,0.0
2000-02-04,-3.0303
2000-02-07,14.5833
2000-02-08,0.0
2000-02-09,-2.7273
2000-02-10,2.8037
2000-02-11,-2.7273
2000-02-14,0.0
2000-02-15,0.0
2000-02-16,3.7382999999999997
2000-02-17,-2.7027
2000-02-18,-0.9259
2000-02-22,0.0
2000-02-23,0.0
2000-02-24,0.0
2000-02-25,-2.8037
2000-02-28,-1.4423
2000-02-29,-0.4878
2000-03-01,-1.9607999999999999
2000-03-02,-0.5
2000-03-03,-0.5025
2000-03-06,1.0101
2000-03-07,-4.0
2000-03-08,3.125
2000-03-09,0.0
2000-03-10,-2.0202
2000-03-13,0.0
2000-03-14,0.5155
2000-03-15,-1.5385
2000-03-16,0.0
2000-03-17,0.0
2000-03-20,13.4115
2000-03-21,-11.7887
2000-03-22,1.0526
2000-03-23,3.125
2000-03-24,-1.0101
2000-03-27,0.0
2000-03-28,-0.5102
2000-03-29,0.5128
2000-03-30,0.0
2000-03-31,0.0
2000-04-03,0.0
2000-04-04,3.9541
2000-04-05,-5.7669
2000-04-06,0.5208
2000-04-07,-0.5181
2000-04-10,-3.125
2000-04-11,2.1505
2000-04-12,1.0526
2000-04-13,0.0
2000-04-14,-2.0833
2000-04-17,6.383
2000-04-18,-4.0
2000-04-19,-1.0417
2000-04-20,6.3158
2000-04-24,-4.9505
2000-04-25,3.125
2000-04-26,10.101
2000-04-27,-6.422
2000-04-28,3.9215999999999998
2000-05-02,-2.8302
2000-05-03,0.9709
2000-05-04,-0.9615
2000-05-05,0.0
2000-05-08,0.9709
2000-05-09,-1.9231
2000-05-10,0.0
2000-05-11,1.9607999999999999
2000-05-12,-1.4423
2000-05-15,0.0
2000-05-16,0.9756
2000-05-22,-1.4493
2000-05-23,1.9607999999999999
2000-05-24,-1.9231
2000-05-25,0.9804
2000-05-26,0.9709
2000-05-30,0.0
2000-05-31,-0.4808
