ticker,PARNF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-18,-19.5
2014-06-19,-5.4658
2014-06-20,2.4967
2014-06-23,4.7436
2014-06-24,-3.3048
2014-06-25,0.7595
2014-06-26,-2.0101
2014-06-27,-10.8974
2014-06-30,-0.7194
2014-07-01,1.4493
2014-07-02,-0.4286
2014-07-03,-1.1478
2014-07-07,1.016
2014-07-08,-6.4655000000000005
2014-07-09,4.3011
2014-07-10,-5.0074
2014-07-11,6.2016
2014-07-14,1.4617
2014-07-15,-2.16
2014-07-16,0.7353
2014-07-17,-2.1898
2014-07-18,-1.3433
2014-07-21,-1.8154
2014-07-22,-1.2327
2014-07-23,1.7161
2014-07-24,5.5215
2014-07-25,0.436
2014-07-28,-0.0145
2014-07-29,-3.3145
2014-07-30,-2.6946
2014-07-31,-2.7846
2014-08-01,-5.0483
2014-08-04,-3.1667
2014-08-05,-1.3769
2014-08-06,-4.3629999999999995
2014-08-07,-1.0949
2014-08-08,-0.369
2014-08-11,1.1111
2014-08-12,0.9158
2014-08-13,-1.6334
2014-08-14,1.2915
2014-08-15,0.1821
2014-08-18,3.4545
2014-08-19,0.8787
2014-08-20,0.0
2014-08-21,2.2648
2014-08-22,0.3407
2014-08-26,1.6978
2014-08-27,-1.7477
2014-08-28,-5.5275
2014-08-29,7.3741
2014-09-02,0.6721
2014-09-03,-3.9953
2014-09-04,2.4263
2014-09-05,-1.0998
2014-09-08,-0.941
2014-09-09,3.2815
2014-09-10,-5.3512
2014-09-11,1.4134
2014-09-12,-1.7422
2014-09-15,-2.4823
2014-09-16,7.2727
2014-09-17,-6.2712
2014-09-18,0.0
2014-09-19,4.1591
2014-09-22,-4.5139
2014-09-23,-5.4545
2014-09-24,0.5769
2014-09-25,-0.5736
2014-09-26,-0.7692
2014-09-29,3.876
2014-09-30,7.2761
2014-10-01,-5.0435
2014-10-02,3.1261
2014-10-06,-1.2554
2014-10-07,-1.0791
2014-10-08,0.7273
2014-10-09,-5.0542
2014-10-10,-3.0418
2014-10-13,-6.6667
2014-10-14,1.2605
2014-10-15,-3.527
2014-10-16,7.3118
2014-10-17,-1.6032
2014-10-20,1.4257
2014-10-21,-6.629
2014-10-22,1.078
2014-10-24,-2.766
2014-10-28,-0.2188
2014-10-29,-6.3596
2014-10-30,8.8993
2014-10-31,2.1505
2014-11-03,3.7895
2014-11-04,0.2028
2014-11-05,-12.1457
2014-11-06,5.7604
2014-11-07,-4.3573
2014-11-10,10.4784
2014-11-11,3.0928
